"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SUBSTANCETYPEDISORDER","Display Value","Numeric","Low","High","Comments"
"RSUD_530","PUBLISHED","2014","EMR","ARE","ALCOHOL_USE_AND_DISORDERS","None","","","",""
"RSUD_530","PUBLISHED","2014","EMR","ARE","DRUG_USE_AND_DISORDERS","None","","","",""
"RSUD_530","PUBLISHED","2014","AMR","ARG","ALCOHOL_USE_AND_DISORDERS","Many (31-60%)","","","",""
"RSUD_530","PUBLISHED","2014","AMR","ARG","DRUG_USE_AND_DISORDERS","Most (61-100%)","","","",""
"RSUD_530","PUBLISHED","2014","EUR","ARM","ALCOHOL_USE_AND_DISORDERS","Many (31-60%)","","","",""
"RSUD_530","PUBLISHED","2014","EUR","ARM","DRUG_USE_AND_DISORDERS","Many (31-60%)","","","",""
"RSUD_530","PUBLISHED","2014","WPR","AUS","ALCOHOL_USE_AND_DISORDERS","Most (61-100%)","","","",""
"RSUD_530","PUBLISHED","2014","WPR","AUS","DRUG_USE_AND_DISORDERS","Some (11-30%)","","","",""
"RSUD_530","PUBLISHED","2014","EUR","AUT","ALCOHOL_USE_AND_DISORDERS","Few (1-10%)","","","",""
"RSUD_530","PUBLISHED","2014","EUR","AUT","DRUG_USE_AND_DISORDERS","None","","","",""
"RSUD_530","PUBLISHED","2014","EUR","AZE","ALCOHOL_USE_AND_DISORDERS","None","","","",""
"RSUD_530","PUBLISHED","2014","EUR","AZE","DRUG_USE_AND_DISORDERS","None","","","",""
"RSUD_530","PUBLISHED","2014","AFR","BDI","ALCOHOL_USE_AND_DISORDERS","None","","","",""
"RSUD_530","PUBLISHED","2014","AFR","BDI","DRUG_USE_AND_DISORDERS","None","","","",""
"RSUD_530","PUBLISHED","2014","SEAR","BGD","ALCOHOL_USE_AND_DISORDERS","None","","","",""
"RSUD_530","PUBLISHED","2014","SEAR","BGD","DRUG_USE_AND_DISORDERS","None","","","",""
"RSUD_530","PUBLISHED","2014","EUR","BIH","ALCOHOL_USE_AND_DISORDERS","None","","","",""
"RSUD_530","PUBLISHED","2014","EUR","BIH","DRUG_USE_AND_DISORDERS","None","","","",""
"RSUD_530","PUBLISHED","2014","EUR","BLR","ALCOHOL_USE_AND_DISORDERS","Many (31-60%)","","","",""
"RSUD_530","PUBLISHED","2014","EUR","BLR","DRUG_USE_AND_DISORDERS","Many (31-60%)","","","",""
"RSUD_530","PUBLISHED","2014","AMR","BLZ","ALCOHOL_USE_AND_DISORDERS","Few (1-10%)","","","",""
"RSUD_530","PUBLISHED","2014","AMR","BLZ","DRUG_USE_AND_DISORDERS","Few (1-10%)","","","",""
"RSUD_530","PUBLISHED","2014","AMR","BOL","ALCOHOL_USE_AND_DISORDERS","None","","","",""
"RSUD_530","PUBLISHED","2014","AMR","BOL","DRUG_USE_AND_DISORDERS","None","","","",""
"RSUD_530","PUBLISHED","2014","AMR","BRA","DRUG_USE_AND_DISORDERS","Many (31-60%)","","","",""
"RSUD_530","PUBLISHED","2014","AMR","BRA","ALCOHOL_USE_AND_DISORDERS","Most (61-100%)","","","",""
"RSUD_530","PUBLISHED","2014","AMR","BRB","ALCOHOL_USE_AND_DISORDERS","None","","","",""
"RSUD_530","PUBLISHED","2014","AMR","BRB","DRUG_USE_AND_DISORDERS","None","","","",""
