"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PUBLICPRIVATESETTING","Display Value","Numeric","Low","High","Comments"
"RSUD_60","PUBLISHED","2008","AFR","AGO","COMMUNITY_PHARMACIES","no","","","",""
"RSUD_60","PUBLISHED","2008","AFR","AGO","PUBLIC_GENERAL_HOSPITALS","no","","","",""
"RSUD_60","PUBLISHED","2008","AFR","AGO","PRIVATE_PRACTICE","no","","","",""
"RSUD_60","PUBLISHED","2008","AFR","AGO","PRIVATE_TREATMENT_CENTERS","yes","","","",""
"RSUD_60","PUBLISHED","2008","AFR","AGO","PRIMARY_HEALTH_CARE","yes","","","",""
"RSUD_60","PUBLISHED","2008","AFR","AGO","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_60","PUBLISHED","2008","AFR","AGO","PUBLIC_MENTAL_HEALTH_HOSPITALS","yes","","","",""
"RSUD_60","PUBLISHED","2008","AFR","AGO","PRISONS","yes","","","",""
"RSUD_60","PUBLISHED","2008","WPR","AUS","PUBLIC_MENTAL_HEALTH_HOSPITALS","yes","","","",""
"RSUD_60","PUBLISHED","2008","WPR","AUS","PRIVATE_PRACTICE","yes","","","",""
"RSUD_60","PUBLISHED","2008","WPR","AUS","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_60","PUBLISHED","2008","WPR","AUS","COMMUNITY_PHARMACIES","yes","","","",""
"RSUD_60","PUBLISHED","2008","WPR","AUS","PRIMARY_HEALTH_CARE","yes","","","",""
"RSUD_60","PUBLISHED","2008","WPR","AUS","PUBLIC_GENERAL_HOSPITALS","yes","","","",""
"RSUD_60","PUBLISHED","2008","WPR","AUS","PRISONS","yes","","","",""
"RSUD_60","PUBLISHED","2008","WPR","AUS","PRIVATE_TREATMENT_CENTERS","yes","","","",""
"RSUD_60","PUBLISHED","2008","EUR","AUT","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_60","PUBLISHED","2008","EUR","AUT","COMMUNITY_PHARMACIES","yes","","","",""
"RSUD_60","PUBLISHED","2008","EUR","AUT","PRISONS","yes","","","",""
"RSUD_60","PUBLISHED","2008","EUR","AUT","PRIVATE_PRACTICE","yes","","","",""
"RSUD_60","PUBLISHED","2008","EUR","AUT","PUBLIC_GENERAL_HOSPITALS","yes","","","",""
