"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"NCDMORT3070","PUBLISHED","2000","EMR","","AFG","FMLE","32.1","32.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","EMR","","AFG","MLE","36.6","36.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","EMR","","AFG","BTSX","34.4","34.40000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","EMR","","AFG","FMLE","31.6","31.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","EMR","","AFG","MLE","36.5","36.50000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","EMR","","AFG","BTSX","34.1","34.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","EMR","","AFG","FMLE","29.4","29.40000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","EMR","","AFG","MLE","34.1","34.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","EMR","","AFG","BTSX","31.7","31.70000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","EMR","","AFG","FMLE","27.8","27.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","EMR","","AFG","MLE","31.9","31.90000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","EMR","","AFG","BTSX","29.8","29.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","EMR","","AFG","FMLE","27.7","27.70000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","EMR","","AFG","MLE","31.8","31.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
