"GHO","PUBLISHSTATE","YEAR","COUNTRY","Display Value","Numeric","Low","High","Comments"
"ITU_ICT_1","PUBLISHED","2012","AFG","5.5","5.45455","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","DZA","15.2","15.22803","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","ARG","55.8","55.80000","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","BRB","73.3","73.32981","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","BEL","82","82.00000","","","Source: Eurostat."
"ITU_ICT_1","PUBLISHED","2012","BWA","11.5","11.50000","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","BRN","60.3","60.27306","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","CMR","5.7","5.69899","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","CPV","34.7","34.74342","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","COM","6","5.97530","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","COD","1.7","1.67996","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","DNK","93","93.00000","","","Source: Eurostat."
"ITU_ICT_1","PUBLISHED","2012","DMA","55.2","55.17701","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","GNQ","13.9","13.94318","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","EST","79","79.00000","","","Source: Eurostat."
"ITU_ICT_1","PUBLISHED","2012","GMB","12.4","12.44923","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","GRD","42.1","42.09026","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","GTM","16","16.00000","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","HND","18.1","18.11987","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","HUN","72","72.00000","","","Source: Eurostat."
"ITU_ICT_1","PUBLISHED","2012","IND","12.6","12.58006","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","ISR","73.4","73.36501","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","JAM","46.5","46.50000","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","KWT","79.2","79.17820","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","LAO","10.7","10.74768","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","LTU","68","68.00000","","","Source: Eurostat."
"ITU_ICT_1","PUBLISHED","2012","MLI","2.2","2.16890","","","Source: ITU estimate."
"ITU_ICT_1","PUBLISHED","2012","MHL","10","10.00000","","","Source: ITU estimate."
