"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RSUD_HIVHEP_CT","Display Value","Numeric","Low","High","Comments"
"RSUD_620","PUBLISHED","2014","EMR","AFG","CT_HIVTESTINGANDCOUNSELLING","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","EMR","AFG","CT_HEPTESTINGANDCOUNSELLING","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","EMR","AFG","CT_HEPVACCINATION","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","ALB","CT_HIVTESTINGANDCOUNSELLING","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","ALB","CT_HIVARVTREATMENT","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","ALB","CT_HEPTESTINGANDCOUNSELLING","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","ALB","CT_HEPVACCINATION","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","ALB","CT_HEPTREATMENT","None","","","",""
"RSUD_620","PUBLISHED","2014","EUR","AND","CT_HIVTESTINGANDCOUNSELLING","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","AND","CT_HIVARVTREATMENT","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","AND","CT_HEPTESTINGANDCOUNSELLING","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","AND","CT_HEPVACCINATION","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","AND","CT_HEPTREATMENT","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EMR","ARE","CT_HIVTESTINGANDCOUNSELLING","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","EMR","ARE","CT_HEPTESTINGANDCOUNSELLING","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","EMR","ARE","CT_HEPVACCINATION","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","EMR","ARE","CT_HEPTREATMENT","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","AMR","ARG","CT_HIVTESTINGANDCOUNSELLING","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","AMR","ARG","CT_HIVARVTREATMENT","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","AMR","ARG","CT_HEPTESTINGANDCOUNSELLING","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","AMR","ARG","CT_HEPVACCINATION","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","AMR","ARG","CT_HEPTREATMENT","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","AUT","CT_HIVARVTREATMENT","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","AUT","CT_HEPTREATMENT","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","AUT","CT_HIVTESTINGANDCOUNSELLING","Many (31-60%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","AUT","CT_HEPTESTINGANDCOUNSELLING","Some (11-30%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","AUT","CT_HEPVACCINATION","Some (11-30%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","AZE","CT_HEPTREATMENT","Many (31-60%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","AZE","CT_HIVTESTINGANDCOUNSELLING","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","AZE","CT_HIVARVTREATMENT","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","AZE","CT_HEPTESTINGANDCOUNSELLING","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","AFR","BDI","CT_HIVTESTINGANDCOUNSELLING","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","AFR","BDI","CT_HIVARVTREATMENT","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","BEL","CT_HIVTESTINGANDCOUNSELLING","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","BEL","CT_HIVARVTREATMENT","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","BEL","CT_HEPTESTINGANDCOUNSELLING","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","BEL","CT_HEPVACCINATION","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","BEL","CT_HEPTREATMENT","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","AFR","BFA","CT_HIVTESTINGANDCOUNSELLING","None","","","",""
"RSUD_620","PUBLISHED","2014","AFR","BFA","CT_HIVARVTREATMENT","None","","","",""
"RSUD_620","PUBLISHED","2014","AFR","BFA","CT_HEPTESTINGANDCOUNSELLING","None","","","",""
"RSUD_620","PUBLISHED","2014","AFR","BFA","CT_HEPVACCINATION","None","","","",""
"RSUD_620","PUBLISHED","2014","AFR","BFA","CT_HEPTREATMENT","None","","","",""
"RSUD_620","PUBLISHED","2014","SEAR","BGD","CT_HIVTESTINGANDCOUNSELLING","Few (1-10%)","","","",""
"RSUD_620","PUBLISHED","2014","EMR","BHR","CT_HIVTESTINGANDCOUNSELLING","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EMR","BHR","CT_HIVARVTREATMENT","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EMR","BHR","CT_HEPTESTINGANDCOUNSELLING","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EMR","BHR","CT_HEPVACCINATION","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EMR","BHR","CT_HEPTREATMENT","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","BIH","CT_HIVTESTINGANDCOUNSELLING","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","BIH","CT_HEPTESTINGANDCOUNSELLING","Most (61-100%)","","","",""
"RSUD_620","PUBLISHED","2014","EUR","BIH","CT_HIVARVTREATMENT","None","","","",""
"RSUD_620","PUBLISHED","2014","EUR","BIH","CT_HEPVACCINATION","None","","","",""
"RSUD_620","PUBLISHED","2014","EUR","BIH","CT_HEPTREATMENT","None","","","",""
