"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"uwgt5","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","","AFGMICS201001","","No data","","","","Not available."
"uwgt5","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","","AFGMICS201002","","No data","","","","Not available."
"uwgt5","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","","AFGMICS201003","","No data","","","","Not available."
"uwgt5","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","","AFGMICS201004","","No data","","","","Not available."
"uwgt5","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","","AFGMICS201005","","No data","","","","Not available."
"uwgt5","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","","AFGMICS201006","","No data","","","","Not available."
"uwgt5","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","","AFGMICS201007","","No data","","","","Not available."
"uwgt5","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","","AFGMICS201008","","No data","","","","Not available."
"uwgt5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201501","","No data","","","","Not available."
"uwgt5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201502","","No data","","","","Not available."
"uwgt5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201503","","No data","","","","Not available."
"uwgt5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201504","","No data","","","","Not available."
"uwgt5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201505","","No data","","","","Not available."
"uwgt5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201506","","No data","","","","Not available."
"uwgt5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201507","","No data","","","","Not available."
