"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"SDGIPV","PUBLISHED","2005-2017","","1","","AGE15-49","FMLE","17.8","17.80000","","","DHS, MICS, other national surveys . Based on 106 countries with a population coverage of 50 per cent"
"SDGIPV","PUBLISHED","2005-2017","","9","","AGE15-49","FMLE","34.7","34.70000","","","DHS, MICS, other national surveys . Based on 10 countries with a population coverage of 6 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","15","","AGE15-49","FMLE","14.0","14.00000","","","DHS, MICS, other national surveys . Based on one country with a population coverage of 41 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","30","","AGE15-49","FMLE","14.7","14.70000","","","DHS, MICS, other national surveys . Based on one country with a population coverage of 0 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","34","","AGE15-49","FMLE","23.0","23.00000","","","DHS, MICS, other national surveys . Based on 5 countries with a population coverage of 84 per cent"
"SDGIPV","PUBLISHED","2005-2017","","35","","AGE15-49","FMLE","8.9","8.90000","","","DHS, MICS, other national surveys . Based on 6 countries with a population coverage of 43 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","62","","AGE15-49","FMLE","23.0","23.00000","","","DHS, MICS, other national surveys . Based on 7 countries with a population coverage of 81 per cent"
"SDGIPV","PUBLISHED","2005-2017","","143","","AGE15-49","FMLE","18.2","18.20000","","","DHS, MICS, other national surveys . Based on 2 countries with a population coverage of 21 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","145","","AGE15-49","FMLE","10.9","10.90000","","","DHS, MICS, other national surveys . Based on 5 countries with a population coverage of 41 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","150","","AGE15-49","FMLE","6.1","6.10000","","","DHS, MICS, other national surveys . Based on 29 countries with a population coverage of 74 per cent"
"SDGIPV","PUBLISHED","2005-2017","","199","","AGE15-49","FMLE","24.3","24.30000","","","DHS, MICS, other national surveys . Based on 34 countries with a population coverage of 83 per cent"
"SDGIPV","PUBLISHED","2005-2017","","202","","AGE15-49","FMLE","21.5","21.50000","","","DHS, MICS, other national surveys . Based on 31 countries with a population coverage of 82 per cent"
"SDGIPV","PUBLISHED","2005-2017","","419","","AGE15-49","FMLE","11.8","11.80000","","","DHS, MICS, other national surveys . Based on 16 countries with a population coverage of 50 percent"
"SDGIPV","PUBLISHED","2005-2017","","432","","AGE15-49","FMLE","21.8","21.80000","","","DHS, MICS, other national surveys . Based on 22 countries with a population coverage of 80 per cent"
"SDGIPV","PUBLISHED","2005-2017","","513","","AGE15-49","FMLE","6.1","6.10000","","","DHS, MICS, other national surveys . Based on 29 countries with a population coverage of 49 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","543","","AGE15-49","FMLE","34.7","34.70000","","","DHS, MICS, other national surveys . Based on 10 countries with a population coverage of 20 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","722","","AGE15-49","FMLE","15.5","15.50000","","","DHS, MICS, other national surveys . Based on 19 countries with a population coverage of 51 per cent"
"SDGIPV","PUBLISHED","2005-2017","","747","","AGE15-49","FMLE","12.3","12.30000","","","DHS, MICS, other national surveys . Based on 6 countries with a population coverage of 41 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","753","","AGE15-49","FMLE","9.0","9.00000","","","DHS, MICS, other national surveys . Based on 7 countries with a population coverage of 13 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2015","EMR","","AFG","AGE25-29","FMLE","48.6","48.60000","","","DHS "
"SDGIPV","PUBLISHED","2015","EMR","","AFG","AGE15-19","FMLE","28.7","28.70000","","","DHS "
"SDGIPV","PUBLISHED","2015","EMR","","AFG","AGE45-49","FMLE","51.9","51.90000","","","DHS "
"SDGIPV","PUBLISHED","2015","EMR","","AFG","AGE15-49","FMLE","46.1","46.10000","","","DHS "
"SDGIPV","PUBLISHED","2015","EMR","","AFG","AGE20-24","FMLE","41.1","41.10000","","","DHS "
