"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"cpmowho","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201001","","31.4 [28.4-34.5]","31.00000","28.00000","34.00000",""
"cpmowho","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201002","","16.0 [12.4-20.4]","16.00000","12.00000","20.00000",""
"cpmowho","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201003","","15.9 [12.7-19.8]","16.00000","13.00000","20.00000",""
"cpmowho","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201004","","13.6 [11.5-15.9]","14.00000","12.00000","16.00000",""
"cpmowho","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201005","","12.5 [10.4-14.9]","12.00000","10.00000","15.00000",""
"cpmowho","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201006","","32.2 [27.4-37.4]","32.00000","27.00000","37.00000",""
"cpmowho","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201007","","16.6 [13.3-20.4]","17.00000","13.00000","20.00000",""
"cpmowho","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201008","","21.7 [17.5-26.5]","22.00000","18.00000","27.00000",""
"cpmowho","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201501","","26.5 [20.6-33.4]","26.00000","21.00000","33.00000",""
"cpmowho","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201502","","19.0 [15.5-23.0]","19.00000","16.00000","23.00000",""
"cpmowho","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201503","","23.8 [19.6-28.5]","24.00000","20.00000","29.00000",""
"cpmowho","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201504","","30.1 [26.9-33.6]","30.00000","27.00000","34.00000",""
