"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","DRUGSUPERVISION","Display Value","Numeric","Low","High","Comments"
"RSUD_61","PUBLISHED","2008","EUR","ALB","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","ALB","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","AFR","AGO","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","AFR","AGO","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","WPR","AUS","SUPERVISION_REQUIRED","no","","","",""
"RSUD_61","PUBLISHED","2008","WPR","AUS","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","AUT","SUPERVISION_REQUIRED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","AUT","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","AZE","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","AZE","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","AMR","BHS","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","AMR","BHS","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EMR","BHR","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","BLR","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","BLR","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","BEL","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","BEL","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","BGR","SUPERVISION_REQUIRED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","BGR","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","WPR","CHN","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","WPR","CHN","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","AMR","COL","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","AMR","COL","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","HRV","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","HRV","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","CYP","SUPERVISION_REQUIRED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","CYP","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","DNK","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","DNK","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","EST","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","EST","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","FIN","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","FIN","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","FRA","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","FRA","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","AFR","GMB","SUPERVISION_REQUIRED","no","","","",""
"RSUD_61","PUBLISHED","2008","AFR","GMB","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","GEO","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","GEO","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","DEU","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","DEU","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","GRC","SUPERVISION_REQUIRED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","GRC","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","HUN","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","HUN","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","ISL","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","ISL","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","SEAR","IDN","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","SEAR","IDN","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EMR","IRN","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","IRL","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","IRL","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","ISR","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","ITA","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","ITA","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","KGZ","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","LVA","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","LVA","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","LTU","SUPERVISION_REQUIRED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","LTU","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","LUX","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","LUX","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","WPR","MYS","ALL_DOSES_SUPERVISED","no","","","",""
