"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","ARCHIVE","Display Value","Numeric","Low","High","Comments"
"SA_0000001822_ARCHIVED","PUBLISHED","2016","AMR","ARG","BTSX","DEC2019","9.8 [9.5-10.1]","9.80000","9.50000","10.10000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2016","AMR","ARG","FMLE","DEC2019","4 [3.9-4.1]","4.00000","3.90000","4.10000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2016","AMR","BRB","MLE","DEC2019","16.6 [16.1-17.2]","16.60000","16.10000","17.20000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2010","AMR","BLZ","BTSX","DEC2019","7 [6.8-7.3]","7.00000","6.80000","7.30000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2016","AMR","BRA","MLE","DEC2019","13.4 [13-13.9]","13.40000","13.00000","13.90000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2010","AMR","CAN","BTSX","DEC2019","10.2 [9.9-10.6]","10.20000","9.90000","10.60000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2010","AMR","COL","MLE","DEC2019","8.6 [8.4-8.9]","8.60000","8.40000","8.90000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2016","AMR","COL","MLE","DEC2019","10.1 [9.7-10.5]","10.10000","9.70000","10.50000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2010","AMR","CRI","BTSX","DEC2019","4.7 [4.5-4.9]","4.70000","4.50000","4.90000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2010","AMR","DMA","FMLE","DEC2019","2.2 [2.1-2.3]","2.20000","2.10000","2.30000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2010","AMR","DMA","MLE","DEC2019","11 [10.7-11.3]","11.00000","10.70000","11.30000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2010","AMR","SLV","FMLE","DEC2019","1 [1-1.1]","1.00000","1.00000","1.10000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2010","AMR","SLV","MLE","DEC2019","6 [5.8-6.3]","6.00000","5.80000","6.30000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2016","AMR","LCA","MLE","DEC2019","16.7 [16.1-17.2]","16.70000","16.10000","17.20000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2010","AMR","VCT","BTSX","DEC2019","6.8 [6.6-6.9]","6.80000","6.60000","6.90000",""
"SA_0000001822_ARCHIVED","PUBLISHED","2016","AMR","VCT","BTSX","DEC2019","8.2 [8-8.5]","8.20000","8.00000","8.50000",""
