"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_MIDDLEAFR","0.5 [0.3-0.9]","0.50000","0.30000","0.90000","Consecutive Low Population Coverage"
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_EASTERNAFR","2.0 [1.4-2.8]","2.00000","1.40000","2.80000",""
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_OCEANIAexAUSNZL","0.0 [0.0-0.0]","0.00000","0.00000","0.00000","Consecutive Low Population Coverage"
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_LLDC","2.0 [1.3-3.1]","2.00000","1.30000","3.10000",""
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_SOUTHEASTERNASIA","1.1 [0.9-1.4]","1.10000","0.90000","1.40000",""
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_WESTERNAFR","1.3 [0.9-1.8]","1.30000","0.90000","1.80000",""
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","10.2 [9.4-11.0]","10.20000","9.40000","11.00000","excluding Japan"
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_LDC","2.5 [1.1-5.3]","2.50000","1.10000","5.30000",""
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_SOUTHERNAFR","0.6 [0.4-0.8]","0.60000","0.40000","0.80000",""
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_SOUTHAMR","2.5 [1.8-3.3]","2.50000","1.80000","3.30000",""
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_CENTRALAMR","0.9 [0.6-1.2]","0.90000","0.60000","1.20000",""
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_WESTERNASIANORTHERNAFR","2.8 [1.8-3.8]","2.80000","1.80000","3.80000",""
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_LAC","3.5 [2.7-4.3]","3.50000","2.70000","4.30000",""
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_CENTRALASIASOUTHERNASIA","5.0 [0.7-9.3]","5.00000","0.70000","9.30000",""
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_NORTHAFR","1.5 [0.9-2.5]","1.50000","0.90000","2.50000",""
"NUTOVERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_EASTERNASIA","9.0 [8.3-9.8]","9.00000","8.30000","9.80000","excluding Japan"
