"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","NATIONALSYSTEMTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001769_ARCHIVED","PUBLISHED","2012","WPR","VNM","SA_NST_ALCOHOLCONSUMPTION","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EUR","AND","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","LSO","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","SEAR","MDV","SA_NST_HEALTHCONSEQUENCES","","","","","missing data"
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AMR","MEX","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EUR","MNE","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AMR","PER","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","RWA","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EUR","SRB","SA_NST_HEALTHCONSEQUENCES","Yes","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","SYC","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","WPR","TON","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AMR","TTO","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","TZA","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AMR","VEN","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","WPR","VNM","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","AGO","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EUR","ARM","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EUR","BLR","SA_NST_SOCIALCONSEQUENCES","Yes","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EUR","BEL","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","BEN","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","SEAR","BTN","SA_NST_SOCIALCONSEQUENCES","","","","","missing data"
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AMR","BOL","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","WPR","BRN","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","WPR","KHM","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AMR","CHL","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AMR","COL","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","CIV","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EUR","HRV","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EUR","CZE","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","SEAR","PRK","SA_NST_SOCIALCONSEQUENCES","","","","","missing data"
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EMR","DJI","SA_NST_SOCIALCONSEQUENCES","","","","","missing data"
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AMR","ECU","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AMR","SLV","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","GNQ","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EUR","EST","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","GAB","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","GMB","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","GHA","SA_NST_SOCIALCONSEQUENCES","Yes","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EUR","GRC","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","GNB","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","SEAR","IDN","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EMR","IRN","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EMR","IRQ","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","WPR","LAO","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EUR","LTU","SA_NST_SOCIALCONSEQUENCES","Yes","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EUR","LUX","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","WPR","MYS","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","MUS","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","MOZ","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","AFR","NAM","SA_NST_SOCIALCONSEQUENCES","","","","","missing data"
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EUR","NLD","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","WPR","NIU","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769_ARCHIVED","PUBLISHED","2012","WPR","PLW","SA_NST_SOCIALCONSEQUENCES","","","","","missing data"
"SA_0000001769_ARCHIVED","PUBLISHED","2012","EUR","POL","SA_NST_SOCIALCONSEQUENCES","Yes","","","",""
