"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EMFEXPOSED","EMFFREQUENCY","Display Value","Numeric","Low","High","Comments"
"EMFSTATUS","PUBLISHED","2018","AMR","ARG","EMFWORKER","EMFSTATIC","Mandatory","","","","Name: Technical Standards for workers with radiation devices ""Especificaciones técnicas sobre ergonomía y levantamiento manual de cargas, y sobre radiaciones""   Publication date: 2003  Link: http://infoleg.mecon.gov.ar/infolegInternet/anexos/90000-94999/90396/norma.htm  Notes: Mandatory on National Level. Controlled by Ministry of Work in Argentina"
"EMFSTATUS","PUBLISHED","2018","AMR","ARG","EMFPUBLIC","EMFLOW","Mandatory","","","","Name: Technical Standards for Public Exposure from National Electrical Power Authority ENRE ""Manual de Gestión Ambiental del Sistema de Transporte Eléctrico de Extra Alta Tensión"""" Publication date: 1998  Link: http://infoleg.mecon.gov.ar/infolegInternet/anexos/45000-49999/49781/norma.htm Notes: Mandatory at National Level. Controlled by National Electrical Power Authority ENRE.   Name: Standards on Low Frequency - fields for E (in kV/m) at 50 Hz ""Especificaciones técnicas sobre ergonomía y levantamiento manual de cargas, y sobre radiaciones"" Publication date: 2003 Link: http://infoleg.mecon.gov.ar/infolegInternet/anexos/90000-94999/90396/norma.htm"
"EMFSTATUS","PUBLISHED","2018","AMR","ARG","EMFWORKER","EMFLOW","Mandatory","","","","Name: Technical Standards for workers with radiation devices ""Especificaciones técnicas sobre ergonomía y levantamiento manual de cargas, y sobre radiaciones"" Publication date: 2003 Link: http://infoleg.mecon.gov.ar/infolegInternet/anexos/90000-94999/90396/norma.htm Notes: Mandatory on National Level. Controlled by Ministry of Work"
"EMFSTATUS","PUBLISHED","2018","EMR","BHR","EMFPUBLIC","EMFLOW","Mandatory","","","","Name: Order No. (4) with respect to Regulating and Monitoring of Non-Ionizing Radiation emitted from Electromagnetic Fields   Publication date: 2 April 2009 Link: http://www.tra.org.bh/media/document/Order%20No.%20(4)%20of%20the%20Year%202009%20With%20Respect%20to%20Regulating%20and%20Monitoring%20of%20Non-Ionizing%20Radiation%20emitted%20from%20Electromagnetic%20fields%20EN.pdf Notes: "
"EMFSTATUS","PUBLISHED","2018","EMR","BHR","EMFWORKER","EMFSTATIC","Mandatory","","","","Name: Order No. (4) with respect to Regulating and Monitoring of Non-Ionizing Radiation emitted from Electromagnetic Fields   Publication date: 2 April 2009 Link: http://www.tra.org.bh/media/document/Order%20No.%20(4)%20of%20the%20Year%202009%20With%20Respect%20to%20Regulating%20and%20Monitoring%20of%20Non-Ionizing%20Radiation%20emitted%20from%20Electromagnetic%20fields%20EN.pdf Notes: "
"EMFSTATUS","PUBLISHED","2018","EMR","BHR","EMFPUBLIC","EMFSTATIC","Mandatory","","","","Name: Order No. (4) with respect to Regulating and Monitoring of Non-Ionizing Radiation emitted from Electromagnetic Fields   Publication date: 2 April 2009 Link: http://www.tra.org.bh/media/document/Order%20No.%20(4)%20of%20the%20Year%202009%20With%20Respect%20to%20Regulating%20and%20Monitoring%20of%20Non-Ionizing%20Radiation%20emitted%20from%20Electromagnetic%20fields%20EN.pdf "
"EMFSTATUS","PUBLISHED","2018","EUR","BGR","EMFWORKER","EMFRADIO","Mandatory","","","","Name: Ordinance No. RD-07-5, 15 November 2016 for the minimal requirements for health and safety of workers on risk of electromagnetic exposure Publication date: 29 November 2016 Link: https://www.mlsp.government.bg/index.php?section=CONTENT&I=227&lang= Notes:  according to the EU Directive 2013/35/2016, Ministry of Labour and Social Policy and Ministry of Health "
"EMFSTATUS","PUBLISHED","2018","EUR","BGR","EMFPUBLIC","EMFRADIO","Mandatory","","","","Name: Ordinance № 9 of 14 March 1991 - TLVs for Electromagnetic Radiation in Residential Areas and for Determining Safety Zones Around Electromagnetic Sources, State gazette No. 35/1991; Changes in State gazette No.8, 2002. Publication date: 14 March 1991 Web link: https://lex.bg/bg/laws/ldoc/-551794688 Notes: only for communication systems in residential areas (30 kHz to 30 GHz); only for electric field strength in the range 30 kHz – 300 MHz (25 V/m; 15 V/m; 10 V/m, 3 V/m), and for power density in the range 300 MHz – 30 GHz (10 µW/cm2) "
"EMFSTATUS","PUBLISHED","2018","EUR","BGR","EMFWORKER","EMFLOW","Mandatory","","","","Name: Ordinance No. RD-07-5, 15 November 2016 for the minimal requirements for health and safety of workers on risk of electromagnetic exposure Publication date: 29 November 2016 Link: https://www.mlsp.government.bg/index.php?section=CONTENT&I=227&lang= Notes:  according to the EU Directive 2013/35/2016, Ministry of Labour and Social Policy and Ministry of Health "
"EMFSTATUS","PUBLISHED","2018","EUR","BGR","EMFWORKER","EMFSTATIC","Mandatory","","","","Name: Ordinance No. RD-07-5, 15 November 2016 for the minimal requirements for health and safety of workers on risk of electromagnetic exposure Publication date: 29 November 2016 Link: https://www.mlsp.government.bg/index.php?section=CONTENT&I=227&lang= Notes:  according to the EU Directive 2013/35/2016 (only for static magnetic field), Ministry of Labour and Social Policy and Ministry of Health"
