"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","CLINICALSUPERVISION","Display Value","Numeric","Low","High","Comments"
"RSUD_81","PUBLISHED","2008","EMR","AFG","NURSES","yes","","","",""
"RSUD_81","PUBLISHED","2008","EMR","AFG","SOCIAL_WORKERS","yes","","","",""
"RSUD_81","PUBLISHED","2008","EMR","AFG","PSYCHOLOGISTS","yes","","","",""
"RSUD_81","PUBLISHED","2008","EMR","AFG","DOCTORS","yes","","","",""
"RSUD_81","PUBLISHED","2008","EUR","ALB","NURSES","no","","","",""
"RSUD_81","PUBLISHED","2008","EUR","ALB","DOCTORS","no","","","",""
"RSUD_81","PUBLISHED","2008","EUR","ALB","PSYCHOLOGISTS","no","","","",""
"RSUD_81","PUBLISHED","2008","EUR","ALB","SOCIAL_WORKERS","no","","","",""
"RSUD_81","PUBLISHED","2008","AFR","DZA","PSYCHOLOGISTS","no","","","",""
"RSUD_81","PUBLISHED","2008","AFR","DZA","NURSES","no","","","",""
"RSUD_81","PUBLISHED","2008","AFR","DZA","DOCTORS","no","","","",""
"RSUD_81","PUBLISHED","2008","AFR","DZA","SOCIAL_WORKERS","no","","","",""
"RSUD_81","PUBLISHED","2008","AFR","AGO","PSYCHOLOGISTS","yes","","","",""
"RSUD_81","PUBLISHED","2008","AFR","AGO","DOCTORS","yes","","","",""
"RSUD_81","PUBLISHED","2008","AFR","AGO","SOCIAL_WORKERS","yes","","","",""
"RSUD_81","PUBLISHED","2008","AFR","AGO","NURSES","yes","","","",""
"RSUD_81","PUBLISHED","2008","EUR","ARM","DOCTORS","no","","","",""
"RSUD_81","PUBLISHED","2008","EUR","ARM","NURSES","no","","","",""
"RSUD_81","PUBLISHED","2008","EUR","ARM","PSYCHOLOGISTS","no","","","",""
"RSUD_81","PUBLISHED","2008","EUR","ARM","SOCIAL_WORKERS","no","","","",""
"RSUD_81","PUBLISHED","2008","WPR","AUS","NURSES","yes","","","",""
"RSUD_81","PUBLISHED","2008","WPR","AUS","PSYCHOLOGISTS","yes","","","",""
"RSUD_81","PUBLISHED","2008","WPR","AUS","SOCIAL_WORKERS","yes","","","",""
"RSUD_81","PUBLISHED","2008","WPR","AUS","DOCTORS","yes","","","",""
"RSUD_81","PUBLISHED","2008","EUR","AUT","DOCTORS","yes","","","",""
"RSUD_81","PUBLISHED","2008","EUR","AUT","NURSES","yes","","","",""
"RSUD_81","PUBLISHED","2008","EUR","AUT","PSYCHOLOGISTS","yes","","","",""
