"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"LBW_PREVALENCE","PUBLISHED","2000","EUR","","","ALB","4.9 [3.9-6.0]","4.90000","3.90000","6.00000",""
"LBW_PREVALENCE","PUBLISHED","2001","EUR","","","ALB","4.8 [3.8-6.1]","4.80000","3.80000","6.10000",""
"LBW_PREVALENCE","PUBLISHED","2002","EUR","","","ALB","4.8 [3.8-6.0]","4.80000","3.80000","6.00000",""
"LBW_PREVALENCE","PUBLISHED","2003","EUR","","","ALB","4.8 [3.8-6.0]","4.80000","3.80000","6.00000",""
"LBW_PREVALENCE","PUBLISHED","2004","EUR","","","ALB","4.8 [3.7-6.0]","4.80000","3.70000","6.00000",""
"LBW_PREVALENCE","PUBLISHED","2005","EUR","","","ALB","4.8 [3.8-6.0]","4.80000","3.80000","6.00000",""
"LBW_PREVALENCE","PUBLISHED","2006","EUR","","","ALB","4.7 [3.8-6.0]","4.70000","3.80000","6.00000",""
"LBW_PREVALENCE","PUBLISHED","2007","EUR","","","ALB","4.7 [3.7-5.9]","4.70000","3.70000","5.90000",""
"LBW_PREVALENCE","PUBLISHED","2008","EUR","","","ALB","4.7 [3.7-5.9]","4.70000","3.70000","5.90000",""
"LBW_PREVALENCE","PUBLISHED","2009","EUR","","","ALB","4.7 [3.7-5.9]","4.70000","3.70000","5.90000",""
"LBW_PREVALENCE","PUBLISHED","2010","EUR","","","ALB","4.7 [3.7-5.9]","4.70000","3.70000","5.90000",""
"LBW_PREVALENCE","PUBLISHED","2011","EUR","","","ALB","4.6 [3.6-6.0]","4.60000","3.60000","6.00000",""
"LBW_PREVALENCE","PUBLISHED","2012","EUR","","","ALB","4.6 [3.7-5.9]","4.60000","3.70000","5.90000",""
"LBW_PREVALENCE","PUBLISHED","2013","EUR","","","ALB","4.6 [3.7-5.8]","4.60000","3.70000","5.80000",""
"LBW_PREVALENCE","PUBLISHED","2014","EUR","","","ALB","4.6 [3.7-5.9]","4.60000","3.70000","5.90000",""
"LBW_PREVALENCE","PUBLISHED","2015","EUR","","","ALB","4.6 [3.6-5.8]","4.60000","3.60000","5.80000",""
"LBW_PREVALENCE","PUBLISHED","2000","AFR","","","DZA","7.7 [6.2-10.1]","7.70000","6.20000","10.10000",""
"LBW_PREVALENCE","PUBLISHED","2001","AFR","","","DZA","7.7 [6.2-10.2]","7.70000","6.20000","10.20000",""
"LBW_PREVALENCE","PUBLISHED","2002","AFR","","","DZA","7.7 [6.1-10.1]","7.70000","6.10000","10.10000",""
"LBW_PREVALENCE","PUBLISHED","2003","AFR","","","DZA","7.6 [6.0-9.8]","7.60000","6.00000","9.80000",""
"LBW_PREVALENCE","PUBLISHED","2004","AFR","","","DZA","7.6 [6.0-10.1]","7.60000","6.00000","10.10000",""
"LBW_PREVALENCE","PUBLISHED","2005","AFR","","","DZA","7.5 [5.9-9.9]","7.50000","5.90000","9.90000",""
"LBW_PREVALENCE","PUBLISHED","2006","AFR","","","DZA","7.5 [5.9-9.8]","7.50000","5.90000","9.80000",""
"LBW_PREVALENCE","PUBLISHED","2007","AFR","","","DZA","7.4 [5.9-9.9]","7.40000","5.90000","9.90000",""
"LBW_PREVALENCE","PUBLISHED","2008","AFR","","","DZA","7.4 [5.8-9.8]","7.40000","5.80000","9.80000",""
"LBW_PREVALENCE","PUBLISHED","2009","AFR","","","DZA","7.4 [5.8-9.7]","7.40000","5.80000","9.70000",""
"LBW_PREVALENCE","PUBLISHED","2010","AFR","","","DZA","7.3 [5.9-9.7]","7.30000","5.90000","9.70000",""
"LBW_PREVALENCE","PUBLISHED","2011","AFR","","","DZA","7.3 [5.8-9.6]","7.30000","5.80000","9.60000",""
"LBW_PREVALENCE","PUBLISHED","2012","AFR","","","DZA","7.3 [5.8-9.6]","7.30000","5.80000","9.60000",""
"LBW_PREVALENCE","PUBLISHED","2013","AFR","","","DZA","7.3 [5.7-9.7]","7.30000","5.70000","9.70000",""
"LBW_PREVALENCE","PUBLISHED","2014","AFR","","","DZA","7.3 [5.6-9.6]","7.30000","5.60000","9.60000",""
"LBW_PREVALENCE","PUBLISHED","2015","AFR","","","DZA","7.3 [5.7-9.6]","7.30000","5.70000","9.60000",""
"LBW_PREVALENCE","PUBLISHED","2000","EUR","","","AND","7.5 [6.1-9.5]","7.50000","6.10000","9.50000",""
"LBW_PREVALENCE","PUBLISHED","2001","EUR","","","AND","7.5 [6.0-9.4]","7.50000","6.00000","9.40000",""
"LBW_PREVALENCE","PUBLISHED","2002","EUR","","","AND","7.5 [6.0-9.5]","7.50000","6.00000","9.50000",""
