"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"cpmo","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","","WQ1","","54.0 [45.2-62.5]","53.98109","45.18110","62.53968",""
"cpmo","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","","WQ3","","69.0 [61.1-75.9]","68.98214","61.13927","75.86694",""
"cpmo","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","","","DOMDHS199901","60.0 [53.2-66.4]","59.98254","53.17660","66.42384",""
"cpmo","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","","","DOMDHS199906","62.9 [48.9-75.1]","62.93451","48.87284","75.09922",""
"cpmo","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","","","DOMDHS199908","72.4 [58.6-82.9]","72.35313","58.56369","82.89404",""
"cpmo","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","RUR","","","16.8 [15.2-18.5]","16.78016","15.20952","18.47764",""
"cpmo","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","URB","","","29.0 [25.2-33.0]","28.97531","25.22610","33.03556",""
"cpmo","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","RUR","","","1.8 [1.2-2.9]","1.83189","1.16137","2.87827",""
"cpmo","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","URB","","","21.7 [19.6-24.0]","21.69915","19.58123","23.97785",""
"cpmo","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","RUR","","","19.4 [17.0-22.1]","19.43593","16.98712","22.14359",""
"cpmo","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","URB","","","17.5 [15.8-19.3]","17.49636","15.81979","19.30984",""
"cpmo","EQ_MICS","PUBLISHED","2005","AFR","BDI","","","RUR","","","7.1 [6.2-8.2]","7.12949","6.18321","8.20790",""
"cpmo","EQ_DHS","PUBLISHED","1998","AFR","BFA","","","URB","","","20.1 [17.2-23.3]","20.10312","17.24822","23.29753",""
"cpmo","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","URB","","","32.1 [27.0-37.7]","32.09478","26.97040","37.69030",""
"cpmo","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","RUR","","","10.8 [9.9-11.8]","10.78081","9.88002","11.75303",""
"cpmo","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","URB","","","45.1 [42.3-47.9]","45.09647","42.29549","47.92888",""
"cpmo","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","RUR","","","40.7 [39.1-42.3]","40.72848","39.14356","42.33293",""
"cpmo","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","URB","","","57.3 [55.4-59.2]","57.29097","55.39622","59.16456",""
"cpmo","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","RUR","","","53.2 [51.7-54.8]","53.21825","51.67836","54.75203",""
"cpmo","EQ_MICS","PUBLISHED","2006","EUR","BIH","","","URB","","","16.2 [12.7-20.5]","16.23508","12.71844","20.49574",""
"cpmo","EQ_MICS","PUBLISHED","2011","EUR","BIH","","","RUR","","","10.8 [9.0-13.0]","10.84755","9.01671","12.99705",""
"cpmo","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","URB","","","58.7 [55.9-61.4]","58.68105","55.85853","61.44765",""
"cpmo","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","RUR","","","47.6 [43.4-51.9]","47.64040","43.37635","51.93913",""
"cpmo","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","URB","","","40.3 [38.4-42.3]","40.33432","38.35318","42.34749",""
"cpmo","EQ_DHS","PUBLISHED","2008","AMR","BOL","","","RUR","","","25.7 [24.0-27.4]","25.68215","24.02054","27.41722",""
"cpmo","EQ_DHS","PUBLISHED","1996","AMR","BRA","","","URB","","","72.6 [71.3-74.0]","72.63520","71.27048","73.95878",""
"cpmo","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","RUR","","","55.7 [49.4-61.8]","55.67171","49.36370","61.80199",""
"cpmo","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","URB","","","63.5 [60.9-66.2]","63.54713","60.85454","66.15750",""
"cpmo","EQ_DHS","PUBLISHED","1994","AFR","CAF","","","RUR","","","1.4 [0.9-2.1]","1.36932","0.90671","2.06305",""
"cpmo","EQ_DHS","PUBLISHED","2011","AFR","CIV","","","URB","","","16.3 [14.2-18.6]","16.27436","14.21917","18.56231",""
"cpmo","EQ_DHS","PUBLISHED","1998","AFR","CMR","","","RUR","","","4.5 [3.7-5.6]","4.54321","3.65192","5.63929",""
"cpmo","EQ_DHS","PUBLISHED","2004","AFR","CMR","","","URB","","","20.1 [18.5-21.9]","20.11739","18.48605","21.85410",""
"cpmo","EQ_MICS","PUBLISHED","2006","AFR","CMR","","","RUR","","","5.7 [4.6-7.0]","5.65422","4.56983","6.97710",""
