"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SUBSTANCETYPE","Display Value","Numeric","Low","High","Comments"
"RSUD_880","PUBLISHED","2014","EUR","ALB","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","ALB","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","AND","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","AND","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","ARG","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","ARG","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","ARM","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","ARM","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","WPR","AUS","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","WPR","AUS","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","AUT","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","AUT","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","AZE","ALCOHOL","No","","","",""
"RSUD_880","PUBLISHED","2014","EUR","AZE","DRUGS","No","","","",""
"RSUD_880","PUBLISHED","2014","EUR","BEL","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","BEL","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AFR","BFA","ALCOHOL","No","","","",""
"RSUD_880","PUBLISHED","2014","AFR","BFA","DRUGS","No","","","",""
"RSUD_880","PUBLISHED","2014","SEAR","BGD","ALCOHOL","No","","","",""
"RSUD_880","PUBLISHED","2014","SEAR","BGD","DRUGS","No","","","",""
"RSUD_880","PUBLISHED","2014","EUR","BIH","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","BIH","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","BLR","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","BLR","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","BOL","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","BOL","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","BRA","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","BRA","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","BRB","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","BRB","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AFR","BWA","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AFR","BWA","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","CAN","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","CAN","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","CHE","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","CHE","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","CHL","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","CHL","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","WPR","CHN","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","WPR","CHN","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AFR","COD","ALCOHOL","No","","","",""
"RSUD_880","PUBLISHED","2014","AFR","COD","DRUGS","No","","","",""
"RSUD_880","PUBLISHED","2014","AMR","COL","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","COL","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","CRI","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","CRI","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","CUB","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","CUB","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","CYP","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","CYP","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","CZE","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","CZE","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","DEU","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","DEU","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","DNK","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","DNK","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","DOM","ALCOHOL","No","","","",""
"RSUD_880","PUBLISHED","2014","AMR","DOM","DRUGS","No","","","",""
"RSUD_880","PUBLISHED","2014","AFR","DZA","ALCOHOL","No","","","",""
"RSUD_880","PUBLISHED","2014","AMR","ECU","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","ECU","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EMR","EGY","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EMR","EGY","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","ESP","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","ESP","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","FIN","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","FIN","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","FRA","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","FRA","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","WPR","FSM","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","WPR","FSM","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","GBR","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","GBR","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","GEO","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","GEO","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AFR","GHA","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AFR","GHA","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","GRC","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","EUR","GRC","DRUGS","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","GRD","ALCOHOL","Yes","","","",""
"RSUD_880","PUBLISHED","2014","AMR","GRD","DRUGS","Yes","","","",""
