"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","STANDARDOFCARE","Display Value","Numeric","Low","High","Comments"
"RSUD_83","PUBLISHED","2008","AFR","AGO","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","AGO","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","AGO","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","AFR","AGO","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ARM","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ARM","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ARM","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ARM","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","WPR","AUS","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","AUS","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","AUS","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","AUS","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","AUT","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","AUT","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","AUT","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","AUT","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","AZE","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","AZE","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","AZE","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","AZE","GUIDELINES","no","","","",""
