"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","HARMANDCONSEQUENCE","Display Value","Numeric","Low","High","Comments"
"SA_0000001467","PUBLISHED","2008","EMR","AFG","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","EMR","AFG","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","EMR","AFG","SA_ALCOHOL_RELATED_HARM","increase","","","",""
"SA_0000001467","PUBLISHED","2008","EUR","ALB","SA_ALCOHOL_RELATED_HARM","increase","","","",""
"SA_0000001467","PUBLISHED","2008","EUR","ALB","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","EUR","ALB","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AMR","ARG","SA_ALCOHOL_RELATED_HARM","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AMR","ARG","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AMR","ARG","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","WPR","AUS","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","inconclusive","","","",""
"SA_0000001467","PUBLISHED","2008","WPR","AUS","SA_ALCOHOL_RELATED_HARM","inconclusive","","","",""
"SA_0000001467","PUBLISHED","2008","WPR","AUS","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","inconclusive","","","",""
"SA_0000001467","PUBLISHED","2008","EUR","AUT","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","stable","","","",""
"SA_0000001467","PUBLISHED","2008","EUR","AUT","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","stable","","","",""
"SA_0000001467","PUBLISHED","2008","EUR","AUT","SA_ALCOHOL_RELATED_HARM","stable","","","",""
"SA_0000001467","PUBLISHED","2008","AMR","BHS","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AMR","BHS","SA_ALCOHOL_RELATED_HARM",".","","","",""
"SA_0000001467","PUBLISHED","2008","AMR","BHS","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","SEAR","BGD","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","SEAR","BGD","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","SEAR","BGD","SA_ALCOHOL_RELATED_HARM","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","BEN","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","BEN","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","BEN","SA_ALCOHOL_RELATED_HARM","increase","","","",""
"SA_0000001467","PUBLISHED","2008","SEAR","BTN","SA_ALCOHOL_RELATD_SOCL_CNSQNCE",".","","","",""
"SA_0000001467","PUBLISHED","2008","SEAR","BTN","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","SEAR","BTN","SA_ALCOHOL_RELATED_HARM","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AMR","BOL","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","stable","","","",""
"SA_0000001467","PUBLISHED","2008","AMR","BOL","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","stable","","","",""
"SA_0000001467","PUBLISHED","2008","AMR","BOL","SA_ALCOHOL_RELATED_HARM","stable","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","BWA","SA_ALCOHOL_RELATED_HARM","inconclusive","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","BWA","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","inconclusive","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","BWA","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","inconclusive","","","",""
"SA_0000001467","PUBLISHED","2008","WPR","BRN","SA_ALCOHOL_RELATED_HARM","inconclusive","","","",""
"SA_0000001467","PUBLISHED","2008","WPR","BRN","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","inconclusive","","","",""
"SA_0000001467","PUBLISHED","2008","WPR","BRN","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","inconclusive","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","BFA","SA_ALCOHOL_RELATED_HARM","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","BFA","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","BFA","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","BDI","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","BDI","SA_ALCOHOL_RELATED_HARM","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","BDI","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","WPR","KHM","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","WPR","KHM","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","WPR","KHM","SA_ALCOHOL_RELATED_HARM","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","CMR","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","CMR","SA_ALCOHOL_RELATED_HARM","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AFR","CMR","SA_ALCOHOL_RELATD_SOCL_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AMR","CAN","SA_ALCOHOL_RELATD_HLTH_CNSQNCE","increase","","","",""
"SA_0000001467","PUBLISHED","2008","AMR","CAN","SA_ALCOHOL_RELATED_HARM","increase","","","",""
