"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RSUDHWF","Display Value","Numeric","Low","High","Comments"
"RSUD_810","PUBLISHED","2014","EMR","AFG","ADDICTION_COUNSELLORS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","EMR","AFG","COMMUNITY_HEALTH_WORKERS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","EMR","AFG","DOCTORS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","EMR","AFG","NURSES","Yes","","","",""
"RSUD_810","PUBLISHED","2014","EMR","AFG","PSYCHIATRISTS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","AFR","AFG","PSYCHOLOGISTS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","AFR","AFG","SOCIAL_WORKERS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","EUR","ALB","DOCTORS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","EUR","ALB","NURSES","Yes","","","",""
"RSUD_810","PUBLISHED","2014","EUR","ALB","PSYCHIATRISTS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","AFR","ALB","PSYCHOLOGISTS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","AFR","ALB","SOCIAL_WORKERS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","EUR","AND","ADDICTION_COUNSELLORS","No","","","",""
"RSUD_810","PUBLISHED","2014","EMR","AND","COMMUNITY_HEALTH_WORKERS","No","","","",""
"RSUD_810","PUBLISHED","2014","EUR","AND","DOCTORS","No","","","",""
"RSUD_810","PUBLISHED","2014","EUR","AND","NURSES","No","","","",""
"RSUD_810","PUBLISHED","2014","EUR","AND","PSYCHIATRISTS","No","","","",""
"RSUD_810","PUBLISHED","2014","AFR","AND","PSYCHOLOGISTS","No","","","",""
"RSUD_810","PUBLISHED","2014","AFR","AND","SOCIAL_WORKERS","No","","","",""
"RSUD_810","PUBLISHED","2014","EUR","AND","NARCOLOGISTS","No","","","",""
"RSUD_810","PUBLISHED","2014","EMR","ARE","ADDICTION_COUNSELLORS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","EMR","ARE","DOCTORS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","EMR","ARE","NURSES","Yes","","","",""
"RSUD_810","PUBLISHED","2014","EMR","ARE","PSYCHIATRISTS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","AFR","ARE","PSYCHOLOGISTS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","AFR","ARE","SOCIAL_WORKERS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","AMR","ARG","ADDICTION_COUNSELLORS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","AFR","ARG","COMMUNITY_HEALTH_WORKERS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","AMR","ARG","DOCTORS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","AMR","ARG","NURSES","Yes","","","",""
"RSUD_810","PUBLISHED","2014","AMR","ARG","PSYCHIATRISTS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","AFR","ARG","PSYCHOLOGISTS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","AFR","ARG","SOCIAL_WORKERS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","AMR","ARG","NARCOLOGISTS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","EUR","ARM","DOCTORS","Yes","","","",""
"RSUD_810","PUBLISHED","2014","EUR","ARM","NURSES","Yes","","","",""
"RSUD_810","PUBLISHED","2014","EUR","ARM","PSYCHIATRISTS","Yes","","","",""
