"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PUBLICPRIVATESETTING","Display Value","Numeric","Low","High","Comments"
"RSUD_58","PUBLISHED","2008","EUR","ALB","PUBLIC_GENERAL_HOSPITALS","no","","","",""
"RSUD_58","PUBLISHED","2008","EUR","ALB","PRIVATE_PRACTICE","no","","","",""
"RSUD_58","PUBLISHED","2008","EUR","ALB","PRIVATE_TREATMENT_CENTERS","yes","","","",""
"RSUD_58","PUBLISHED","2008","EUR","ALB","PUBLIC_MENTAL_HEALTH_HOSPITALS","no","","","",""
"RSUD_58","PUBLISHED","2008","EUR","ALB","PRIMARY_HEALTH_CARE","no","","","",""
"RSUD_58","PUBLISHED","2008","EUR","ALB","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_58","PUBLISHED","2008","AFR","AGO","PRIMARY_HEALTH_CARE","yes","","","",""
"RSUD_58","PUBLISHED","2008","AFR","AGO","PUBLIC_MENTAL_HEALTH_HOSPITALS","yes","","","",""
"RSUD_58","PUBLISHED","2008","AFR","AGO","PUBLIC_GENERAL_HOSPITALS","no","","","",""
"RSUD_58","PUBLISHED","2008","AFR","AGO","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_58","PUBLISHED","2008","AFR","AGO","PRIVATE_TREATMENT_CENTERS","yes","","","",""
"RSUD_58","PUBLISHED","2008","AFR","AGO","PRIVATE_PRACTICE","yes","","","",""
"RSUD_58","PUBLISHED","2008","WPR","AUS","PRIMARY_HEALTH_CARE","yes","","","",""
"RSUD_58","PUBLISHED","2008","WPR","AUS","PRIVATE_PRACTICE","yes","","","",""
"RSUD_58","PUBLISHED","2008","WPR","AUS","PUBLIC_MENTAL_HEALTH_HOSPITALS","yes","","","",""
"RSUD_58","PUBLISHED","2008","WPR","AUS","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_58","PUBLISHED","2008","WPR","AUS","PRIVATE_TREATMENT_CENTERS","yes","","","",""
"RSUD_58","PUBLISHED","2008","WPR","AUS","PUBLIC_GENERAL_HOSPITALS","yes","","","",""
"RSUD_58","PUBLISHED","2008","EUR","AUT","PRIVATE_TREATMENT_CENTERS","yes","","","",""
"RSUD_58","PUBLISHED","2008","EUR","AUT","PRIVATE_PRACTICE","yes","","","",""
"RSUD_58","PUBLISHED","2008","EUR","AUT","PUBLIC_MENTAL_HEALTH_HOSPITALS","yes","","","",""
"RSUD_58","PUBLISHED","2008","EUR","AUT","PRIMARY_HEALTH_CARE","yes","","","",""
"RSUD_58","PUBLISHED","2008","EUR","AUT","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_58","PUBLISHED","2008","EUR","AUT","PUBLIC_GENERAL_HOSPITALS","yes","","","",""
"RSUD_58","PUBLISHED","2008","EUR","AZE","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
