"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"NCD_PAA","PUBLISHED","2016","","WB_LI","","YEARS18-PLUS","BTSX","16.2 [14.2-17.9]","16.19412","14.18555","17.94133",""
"NCD_PAA","PUBLISHED","2016","","WB_LI","","YEARS18-PLUS","FMLE","18.8 [15.9-21.4]","18.83325","15.94352","21.42061",""
"NCD_PAA","PUBLISHED","2016","","WB_LI","","YEARS18-PLUS","MLE","13.4 [11.3-15.6]","13.37550","11.25524","15.60966",""
"NCD_PAA","PUBLISHED","2016","","WB_MI","","YEARS18-PLUS","BTSX","26.0 [22.6-31.8]","25.97368","22.57089","31.82518",""
"NCD_PAA","PUBLISHED","2016","","WB_MI","","YEARS18-PLUS","FMLE","30.1 [26.0-39.5]","30.10689","25.97601","39.53862",""
"NCD_PAA","PUBLISHED","2016","","WB_MI","","YEARS18-PLUS","MLE","21.9 [18.9-31.3]","21.87571","18.91939","31.26635",""
"NCD_PAA","PUBLISHED","2016","","WB_HI","","YEARS18-PLUS","BTSX","36.8 [35.0-38.0]","36.75798","34.99304","38.04382",""
"NCD_PAA","PUBLISHED","2016","","WB_HI","","YEARS18-PLUS","FMLE","41.6 [39.1-43.9]","41.57743","39.07309","43.87771",""
"NCD_PAA","PUBLISHED","2016","","WB_HI","","YEARS18-PLUS","MLE","32.0 [29.8-33.1]","31.99884","29.75256","33.07203",""
"NCD_PAA","PUBLISHED","2016","AFR","","","YEARS18-PLUS","BTSX","22.1 [19.9-24.0]","22.10034","19.92357","24.01385",""
"NCD_PAA","PUBLISHED","2016","AFR","","","YEARS18-PLUS","FMLE","25.6 [22.8-28.2]","25.62955","22.81757","28.17524",""
"NCD_PAA","PUBLISHED","2016","AFR","","","YEARS18-PLUS","MLE","18.4 [15.8-20.9]","18.40121","15.80844","20.90468",""
"NCD_PAA","PUBLISHED","2016","AMR","","","YEARS18-PLUS","BTSX","39.3 [37.4-40.9]","39.25842","37.41928","40.94986",""
"NCD_PAA","PUBLISHED","2016","AMR","","","YEARS18-PLUS","FMLE","45.2 [42.9-48.6]","45.15062","42.86541","48.57572",""
"NCD_PAA","PUBLISHED","2016","AMR","","","YEARS18-PLUS","MLE","33.1 [30.8-34.0]","33.14376","30.82032","34.00796",""
"NCD_PAA","PUBLISHED","2016","EMR","","","YEARS18-PLUS","BTSX","34.9 [32.1-39.2]","34.92263","32.13744","39.20815",""
"NCD_PAA","PUBLISHED","2016","EMR","","","YEARS18-PLUS","FMLE","43.5 [41.4-46.6]","43.47659","41.35603","46.55051",""
"NCD_PAA","PUBLISHED","2016","EMR","","","YEARS18-PLUS","MLE","26.9 [25.4-30.6]","26.93781","25.35328","30.56113",""
"NCD_PAA","PUBLISHED","2016","EUR","","","YEARS18-PLUS","BTSX","29.4 [27.9-32.1]","29.36660","27.90771","32.14433",""
"NCD_PAA","PUBLISHED","2016","EUR","","","YEARS18-PLUS","FMLE","32.4 [30.5-37.0]","32.39926","30.52359","36.98971",""
"NCD_PAA","PUBLISHED","2016","EUR","","","YEARS18-PLUS","MLE","26.2 [23.9-29.5]","26.16839","23.87847","29.53792",""
"NCD_PAA","PUBLISHED","2016","SEAR","","","YEARS18-PLUS","BTSX","30.5 [21.6-46.8]","30.49395","21.56677","46.84220",""
"NCD_PAA","PUBLISHED","2016","SEAR","","","YEARS18-PLUS","FMLE","38.3 [27.0-64.0]","38.26372","27.04218","63.95632",""
"NCD_PAA","PUBLISHED","2016","SEAR","","","YEARS18-PLUS","MLE","22.9 [15.1-49.8]","22.89616","15.09282","49.78928",""
"NCD_PAA","PUBLISHED","2016","WPR","","","YEARS18-PLUS","BTSX","18.6 [16.5-23.5]","18.64246","16.52981","23.49588",""
"NCD_PAA","PUBLISHED","2016","WPR","","","YEARS18-PLUS","FMLE","18.5 [15.5-27.3]","18.48896","15.54282","27.27532",""
"NCD_PAA","PUBLISHED","2016","WPR","","","YEARS18-PLUS","MLE","18.8 [16.3-25.1]","18.80441","16.30651","25.13120",""
