"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"sba","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","ALBMICS200504","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000",""
"sba","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","DZAMICS201206","","95.5 [92.9-97.2]","96.00000","93.00000","97.00000",""
"sba","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201505","","43.1 [34.3-52.4]","43.00000","34.00000","52.00000",""
"sba","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201506","","24.3 [17.1-33.4]","24.00000","17.00000","33.00000",""
"sba","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201510","","40.0 [32.9-47.5]","40.00000","33.00000","47.00000",""
"sba","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200501","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000",""
"sba","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201502","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000","Attention - Estimate is based on 25-49 cases."
"sba","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201506","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000",""
"sba","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201511","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000",""
"sba","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","BGDDHS200401","","14.3 [9.2-21.5]","14.00000","9.00000","21.00000",""
"sba","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","","BRBMICS201202","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000","Attention - Estimate is based on 25-49 cases."
"sba","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","BLRMICS200505","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000",""
"sba","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","BENDHS200604","","54.3 [43.2-65.1]","54.00000","43.00000","65.00000",""
"sba","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","BENMICS201401","","61.3 [50.5-71.2]","61.00000","51.00000","71.00000",""
"sba","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","BENMICS201402","","81.5 [72.6-87.9]","81.00000","73.00000","88.00000",""
"sba","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","BOLDHS199809","","52.4 [34.3-70.0]","52.00000","34.00000","70.00000",""
"sba","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","","BOLDHS200304","","No data","","","","Not available."
"sba","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","","BOLDHS200306","","80.4 [75.8-84.4]","80.00000","76.00000","84.00000",""
"sba","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","","BOLDHS200306","","No data","","","","Not available."
"sba","EQ_MICS","PUBLISHED","2000","AFR","BWA","","","","BWAMICS200008","","No data","","","","Not available."
"sba","EQ_MICS","PUBLISHED","2000","AFR","BWA","","","","BWAMICS200012","","No data","","","","Not available."
"sba","EQ_DHS","PUBLISHED","1996","AMR","BRA","","","","BRADHS199604","","96.9 [94.8-98.1]","97.00000","95.00000","98.00000",""
"sba","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","BFADHS200306","","No data","","","","Not available."
"sba","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","BFADHS200310","","23.4 [14.3-36.1]","23.00000","14.00000","36.00000",""
"sba","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","BFADHS200312","","No data","","","","Not available."
"sba","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","BFADHS200314","","24.4 [14.9-37.2]","24.00000","15.00000","37.00000",""
"sba","EQ_DHS","PUBLISHED","2010","AFR","BDI","","","","BDIDHS201003","","60.4 [55.6-65.0]","60.00000","56.00000","65.00000",""
"sba","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","KHMDHS200505","","29.9 [21.1-40.5]","30.00000","21.00000","41.00000",""
"sba","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","KHMDHS200509","","32.6 [26.0-40.0]","33.00000","26.00000","40.00000",""
"sba","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","KHMDHS201407","","57.0 [40.4-72.1]","57.00000","40.00000","72.00000",""
"sba","EQ_DHS","PUBLISHED","1994","AFR","CAF","","","","CAFDHS199401","","52.3 [42.4-61.9]","52.00000","42.00000","62.00000",""
"sba","EQ_MICS","PUBLISHED","2006","AFR","CAF","","","","CAFMICS200603","","No data","","","","Not available."
"sba","EQ_MICS","PUBLISHED","2006","AFR","CAF","","","","CAFMICS200606","","64.6 [48.0-78.3]","65.00000","48.00000","78.00000",""
"sba","EQ_MICS","PUBLISHED","2006","AFR","CAF","","","","CAFMICS200608","","26.9 [15.6-42.1]","27.00000","16.00000","42.00000",""
