"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","DRUG","Display Value","Numeric","Low","High","Comments"
"RSUD_70","PUBLISHED","2008","EMR","AFG","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","EMR","AFG","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","EUR","ALB","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","EUR","ALB","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","AFR","DZA","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","AFR","DZA","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","AFR","AGO","BENZODIAZEPINES","no","","","",""
"RSUD_70","PUBLISHED","2008","AFR","AGO","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","EUR","ARM","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","EUR","ARM","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","WPR","AUS","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","WPR","AUS","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","EUR","AUT","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","EUR","AUT","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","EUR","AZE","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","EUR","AZE","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","AMR","BHS","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","AMR","BHS","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","EMR","BHR","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","EMR","BHR","ANTIPSYCHOTICS_NEUROLEPTICS","no","","","",""
"RSUD_70","PUBLISHED","2008","SEAR","BGD","ANTIPSYCHOTICS_NEUROLEPTICS","no","","","",""
"RSUD_70","PUBLISHED","2008","SEAR","BGD","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","EUR","BLR","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","EUR","BLR","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","EUR","BEL","ANTIPSYCHOTICS_NEUROLEPTICS","no","","","",""
"RSUD_70","PUBLISHED","2008","EUR","BEL","BENZODIAZEPINES","no","","","",""
"RSUD_70","PUBLISHED","2008","AMR","BLZ","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","AFR","BEN","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","AFR","BEN","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","SEAR","BTN","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","SEAR","BTN","BENZODIAZEPINES","no","","","",""
"RSUD_70","PUBLISHED","2008","AFR","BWA","BENZODIAZEPINES","no","","","",""
"RSUD_70","PUBLISHED","2008","AFR","BWA","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","WPR","BRN","BENZODIAZEPINES","no","","","",""
"RSUD_70","PUBLISHED","2008","WPR","BRN","ANTIPSYCHOTICS_NEUROLEPTICS","no","","","",""
"RSUD_70","PUBLISHED","2008","EUR","BGR","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","EUR","BGR","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","AFR","BDI","BENZODIAZEPINES","no","","","",""
"RSUD_70","PUBLISHED","2008","AFR","BDI","ANTIPSYCHOTICS_NEUROLEPTICS","no","","","",""
"RSUD_70","PUBLISHED","2008","AFR","CMR","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
"RSUD_70","PUBLISHED","2008","AFR","CMR","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","AFR","CPV","BENZODIAZEPINES","yes","","","",""
"RSUD_70","PUBLISHED","2008","AFR","CPV","ANTIPSYCHOTICS_NEUROLEPTICS","yes","","","",""
