"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"bcgv","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","URB","","","98.3 [89.1-99.8]","98.29443","89.07135","99.75522",""
"bcgv","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","RUR","","","No data","","","","Not available."
"bcgv","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","URB","","","90.6 [84.8-94.3]","90.58231","84.82497","94.30206",""
"bcgv","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","RUR","","","96.4 [90.7-98.7]","96.44813","90.68870","98.69632",""
"bcgv","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","URB","","","91.0 [84.0-95.1]","91.02845","84.03507","95.13573",""
"bcgv","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","URB","","","91.8 [89.4-93.7]","91.79465","89.37549","93.70178",""
"bcgv","EQ_DHS","PUBLISHED","1998","AFR","BFA","","","RUR","","","69.5 [63.8-74.6]","69.48234","63.77774","74.64568",""
"bcgv","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","URB","","","96.5 [91.9-98.5]","96.50279","91.89161","98.53348",""
"bcgv","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","RUR","","","90.1 [86.7-92.7]","90.11723","86.72310","92.71654",""
"bcgv","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","URB","","","97.8 [96.8-98.5]","97.77515","96.79496","98.46034",""
"bcgv","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","RUR","","","96.6 [94.6-97.8]","96.58602","94.63434","97.84398",""
"bcgv","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","URB","","","98.8 [97.1-99.5]","98.81271","97.06680","99.52451",""
"bcgv","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","RUR","","","No data","","","","Not available."
"bcgv","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","URB","","","98.9 [97.7-99.5]","98.93992","97.73879","99.50624",""
"bcgv","EQ_MICS","PUBLISHED","2006","EUR","BIH","","","RUR","","","96.5 [93.5-98.2]","96.53333","93.51533","98.17416",""
"bcgv","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","URB","","","98.9 [95.2-99.7]","98.85852","95.15983","99.73856",""
"bcgv","EQ_DHS","PUBLISHED","1994","AMR","BOL","","","RUR","","","67.2 [60.9-72.9]","67.19897","60.89326","72.93976",""
