"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SUBSTANCETYPEDISORDER","Display Value","Numeric","Low","High","Comments"
"RSUD_78","PUBLISHED","2008","EMR","AFG","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","EMR","AFG","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","EUR","ALB","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","EUR","ALB","ALCOHOL_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AFR","DZA","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AFR","DZA","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AFR","AGO","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AFR","AGO","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","EUR","ARM","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","EUR","ARM","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","WPR","AUS","ALCOHOL_USE_AND_DISORDERS","Yes, routinely","","","",""
"RSUD_78","PUBLISHED","2008","WPR","AUS","DRUG_USE_AND_DISORDERS","Yes, routinely","","","",""
"RSUD_78","PUBLISHED","2008","EUR","AUT","ALCOHOL_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","EUR","AUT","DRUG_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AMR","BHS","ALCOHOL_USE_AND_DISORDERS","Yes, routinely","","","",""
"RSUD_78","PUBLISHED","2008","AMR","BHS","DRUG_USE_AND_DISORDERS","Yes, routinely","","","",""
"RSUD_78","PUBLISHED","2008","EMR","BHR","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","EMR","BHR","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","SEAR","BGD","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","SEAR","BGD","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","EUR","BLR","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","EUR","BLR","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","EUR","BEL","DRUG_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","EUR","BEL","ALCOHOL_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AMR","BLZ","DRUG_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AMR","BLZ","ALCOHOL_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AFR","BEN","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AFR","BEN","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","SEAR","BTN","DRUG_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","SEAR","BTN","ALCOHOL_USE_AND_DISORDERS","Yes, routinely","","","",""
"RSUD_78","PUBLISHED","2008","AFR","BWA","DRUG_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AFR","BWA","ALCOHOL_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","WPR","BRN","DRUG_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","EUR","BGR","ALCOHOL_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","EUR","BGR","DRUG_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AFR","BFA","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AFR","BFA","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AFR","BDI","ALCOHOL_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AFR","BDI","DRUG_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AFR","CMR","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AFR","CMR","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AMR","CAN","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AMR","CAN","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AFR","CPV","DRUG_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AFR","CPV","ALCOHOL_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AFR","CAF","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AFR","CAF","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AFR","TCD","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AFR","TCD","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AMR","CHL","ALCOHOL_USE_AND_DISORDERS","Yes, routinely","","","",""
"RSUD_78","PUBLISHED","2008","AMR","CHL","DRUG_USE_AND_DISORDERS","Yes, routinely","","","",""
"RSUD_78","PUBLISHED","2008","WPR","CHN","ALCOHOL_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","WPR","CHN","DRUG_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AMR","COL","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AMR","COL","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AFR","COM","DRUG_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AFR","COM","ALCOHOL_USE_AND_DISORDERS","No","","","",""
"RSUD_78","PUBLISHED","2008","AFR","COG","ALCOHOL_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AFR","COG","DRUG_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AMR","CRI","DRUG_USE_AND_DISORDERS","Yes, but rarely","","","",""
"RSUD_78","PUBLISHED","2008","AMR","CRI","ALCOHOL_USE_AND_DISORDERS","Yes, but rarely","","","",""
