"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","POLICYFRAMEWORK","Display Value","Numeric","Low","High","Comments"
"SA_0000001692","PUBLISHED","2016","AMR","PRY","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","USA","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","USA","INTEGRATED_GEN_PUB_HEALTH","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","BWA","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","BWA","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","CPV","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","CAF","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","GHA","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EMR","DJI","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","MDG","INTEGRATED_SUBSTANCE_ABUSE","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","MWI","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","MWI","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","ARG","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","ARG","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","BRA","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","BRA","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","PRY","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
