"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"fullv","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","URB","","","30.5 [14.7-52.7]","30.47359","14.69430","52.72453","Attention - Estimate is based on 25-49 cases."
"fullv","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","URB","","","43.0 [37.3-49.0]","43.03097","37.30167","48.95319",""
"fullv","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","RUR","","","16.7 [13.4-20.7]","16.74821","13.42092","20.70315",""
"fullv","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","URB","","","40.7 [36.8-44.8]","40.69903","36.75367","44.76813",""
"fullv","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","RUR","","","46.2 [34.9-58.0]","46.24993","34.90461","57.99735",""
"fullv","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","URB","","","36.9 [24.0-51.9]","36.86101","23.99555","51.91294",""
"fullv","EQ_MICS","PUBLISHED","2005","AFR","BDI","","","URB","","","53.6 [45.7-61.4]","53.64281","45.66930","61.43431",""
"fullv","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","RUR","","","55.0 [49.5-60.4]","55.01239","49.52754","60.37802",""
"fullv","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","URB","","","57.8 [49.8-65.3]","57.77006","49.82565","65.33182",""
"fullv","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","RUR","","","43.4 [40.3-46.5]","43.40276","40.31643","46.54112",""
"fullv","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","URB","","","55.0 [50.8-59.1]","54.97654","50.79535","59.08858",""
"fullv","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","RUR","","","53.7 [49.8-57.6]","53.73999","49.83356","57.60104",""
"fullv","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","URB","","","59.7 [49.4-69.3]","59.73270","49.37370","69.29045",""
"fullv","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","RUR","","","71.1 [66.4-75.4]","71.12865","66.42605","75.41634",""
"fullv","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","RUR","","","80.5 [76.6-83.8]","80.45718","76.57607","83.83099",""
