"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RSUDSPECIFICPOPULATION","Display Value","Numeric","Low","High","Comments"
"RSUD_590","PUBLISHED","2014","EUR","AND","CHILDREN_AND_ADOLESCENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AND","PARENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AND","YOUNG_ADULTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EMR","ARE","CHILDREN_AND_ADOLESCENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EMR","ARE","CHILDREN_AND_FAMILIES_RISK","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EMR","ARE","PARENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EMR","ARE","PEOPLE_LIVING_WITH_HIV_AIDS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EMR","ARE","PERSONS_WITH_MENTAL_HEALTH_DISORDERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EMR","ARE","PRISONERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EMR","ARE","YOUNG_ADULTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","ARM","CHILDREN_AND_ADOLESCENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","ARM","CHILDREN_AND_FAMILIES_RISK","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","ARM","PARENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","ARM","PREGNANT_WOMEN","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","ARM","PRISONERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","ARM","YOUNG_ADULTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","WPR","AUS","CHILDREN_AND_ADOLESCENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","WPR","AUS","CHILDREN_AND_FAMILIES_RISK","Yes","","","",""
"RSUD_590","PUBLISHED","2014","WPR","AUS","INDIGENOUS_POPULATIONS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","WPR","AUS","MINORITY_GROUPS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","WPR","AUS","PARENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","WPR","AUS","PEOPLE_LIVING_WITH_HIV_AIDS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","WPR","AUS","PERSONS_WITH_MENTAL_HEALTH_DISORDERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","WPR","AUS","PREGNANT_WOMEN","Yes","","","",""
"RSUD_590","PUBLISHED","2014","WPR","AUS","PRISONERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","WPR","AUS","YOUNG_ADULTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AUT","CHILDREN_AND_ADOLESCENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AUT","CHILDREN_AND_FAMILIES_RISK","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AUT","COMMERCIAL_SEX_WORKERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AUT","INDIGENOUS_POPULATIONS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AUT","MINORITY_GROUPS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AUT","PARENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AUT","PEOPLE_LIVING_WITH_HIV_AIDS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AUT","PEOPLE_WITH_TB","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AUT","PERSONS_WITH_MENTAL_HEALTH_DISORDERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AUT","PREGNANT_WOMEN","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AUT","PRISONERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AUT","REFUGEES","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AUT","YOUNG_ADULTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AUT","ELDERLY","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AZE","PEOPLE_LIVING_WITH_HIV_AIDS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AZE","PEOPLE_WITH_TB","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","AZE","PRISONERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AFR","BDI","CHILDREN_AND_ADOLESCENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AFR","BDI","PEOPLE_LIVING_WITH_HIV_AIDS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AFR","BDI","PEOPLE_WITH_TB","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AFR","BDI","PERSONS_WITH_MENTAL_HEALTH_DISORDERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AFR","BDI","PREGNANT_WOMEN","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AFR","BDI","PRISONERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AFR","BDI","YOUNG_ADULTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BEL","CHILDREN_AND_ADOLESCENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BEL","CHILDREN_AND_FAMILIES_RISK","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BEL","MINORITY_GROUPS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BEL","PARENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BEL","PERSONS_WITH_MENTAL_HEALTH_DISORDERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BEL","PREGNANT_WOMEN","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BEL","YOUNG_ADULTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AFR","BEN","CHILDREN_AND_ADOLESCENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AFR","BEN","COMMERCIAL_SEX_WORKERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AFR","BEN","PEOPLE_LIVING_WITH_HIV_AIDS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AFR","BEN","PERSONS_WITH_MENTAL_HEALTH_DISORDERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AFR","BEN","PRISONERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AFR","BEN","YOUNG_ADULTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BIH","CHILDREN_AND_FAMILIES_RISK","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BIH","PERSONS_WITH_MENTAL_HEALTH_DISORDERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BIH","PRISONERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BIH","YOUNG_ADULTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BLR","CHILDREN_AND_ADOLESCENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BLR","CHILDREN_AND_FAMILIES_RISK","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BLR","PARENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BLR","PREGNANT_WOMEN","Yes","","","",""
"RSUD_590","PUBLISHED","2014","EUR","BLR","YOUNG_ADULTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AMR","BLZ","CHILDREN_AND_ADOLESCENTS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AMR","BLZ","CHILDREN_AND_FAMILIES_RISK","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AMR","BLZ","COMMERCIAL_SEX_WORKERS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AMR","BLZ","INDIGENOUS_POPULATIONS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AMR","BLZ","MINORITY_GROUPS","Yes","","","",""
"RSUD_590","PUBLISHED","2014","AMR","BLZ","PARENTS","Yes","","","",""
