"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"AIR_45","PUBLISHED","2016","AFR","AGO","FMLE","ENVCAUSE039","214 456","214456.36660","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","FMLE","ENVCAUSE118","6008","6007.84617","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","FMLE","ENVCAUSE113","19 239","19238.75525","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","FMLE","ENVCAUSE068","355","354.58561","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","FMLE","ENVCAUSE114","15 588","15588.39993","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","FMLE","ENVCAUSE000","255646 [179352-335076]","255646.00000","179352.00000","335076.00000",""
"AIR_45","PUBLISHED","2016","AFR","AGO","MLE","ENVCAUSE039","202 009","202008.53020","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","MLE","ENVCAUSE118","5267","5266.73904","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","MLE","ENVCAUSE113","24 217","24217.39648","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","MLE","ENVCAUSE068","522","522.10740","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","MLE","ENVCAUSE114","13 310","13310.25616","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","MLE","ENVCAUSE000","245325 [173785-320139]","245325.00000","173785.00000","320139.00000",""
"AIR_45","PUBLISHED","2016","EUR","ALB","BTSX","ENVCAUSE039","1921","1921.21763","","",""
"AIR_45","PUBLISHED","2016","EUR","ALB","BTSX","ENVCAUSE118","1705","1704.65968","","",""
"AIR_45","PUBLISHED","2016","EUR","ALB","BTSX","ENVCAUSE113","20 271","20270.91176","","",""
"AIR_45","PUBLISHED","2016","EUR","ALB","BTSX","ENVCAUSE068","2980","2979.87620","","",""
"AIR_45","PUBLISHED","2016","EUR","ALB","BTSX","ENVCAUSE114","9846","9846.06211","","",""
"AIR_45","PUBLISHED","2016","EUR","ALB","BTSX","ENVCAUSE000","36723 [31053-42363]","36723.00000","31053.00000","42363.00000",""
"AIR_45","PUBLISHED","2016","EUR","ALB","FMLE","ENVCAUSE039","841","841.09210","","",""
"AIR_45","PUBLISHED","2016","EUR","ALB","FMLE","ENVCAUSE118","539","539.07088","","",""
"AIR_45","PUBLISHED","2016","EUR","ALB","FMLE","ENVCAUSE113","6973","6972.58430","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","BTSX","ENVCAUSE000","500971 [353164-655265]","500971.00000","353164.00000","655265.00000",""
"AIR_45","PUBLISHED","2016","AFR","AGO","BTSX","ENVCAUSE114","28 899","28898.65613","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","BTSX","ENVCAUSE068","877","876.69301","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","BTSX","ENVCAUSE113","43 456","43456.15100","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","BTSX","ENVCAUSE118","11 275","11274.58536","","",""
"AIR_45","PUBLISHED","2016","AFR","AGO","BTSX","ENVCAUSE039","416 465","416464.91280","","",""
"AIR_45","PUBLISHED","2016","EMR","AFG","MLE","ENVCAUSE000","412667 [361254-467988]","412667.00000","361254.00000","467988.00000",""
"AIR_45","PUBLISHED","2016","EMR","AFG","MLE","ENVCAUSE114","39 996","39996.39038","","",""
"AIR_45","PUBLISHED","2016","EMR","AFG","MLE","ENVCAUSE068","5782","5782.25080","","",""
"AIR_45","PUBLISHED","2016","EMR","AFG","MLE","ENVCAUSE113","135 736","135736.20460","","",""
"AIR_45","PUBLISHED","2016","EMR","AFG","MLE","ENVCAUSE118","15 888","15887.66248","","",""
"AIR_45","PUBLISHED","2016","EMR","AFG","MLE","ENVCAUSE039","215 265","215264.69170","","",""
"AIR_45","PUBLISHED","2016","EMR","AFG","FMLE","ENVCAUSE000","386714 [332494-444539]","386714.00000","332494.00000","444539.00000",""
"AIR_45","PUBLISHED","2016","EMR","AFG","FMLE","ENVCAUSE114","45 362","45361.64014","","",""
