"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","NGO","Display Value","Numeric","Low","High","Comments"
"RSUD_85","PUBLISHED","2008","EMR","AFG","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","EMR","AFG","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","EMR","AFG","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","EMR","AFG","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","ALB","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","EUR","ALB","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","ALB","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","ALB","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","DZA","PREVENTION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","DZA","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","DZA","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","DZA","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","AGO","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","AGO","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","AGO","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","AGO","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","ARM","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","EUR","ARM","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","EUR","ARM","PREVENTION","no","","","",""
"RSUD_85","PUBLISHED","2008","EUR","ARM","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","WPR","AUS","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","WPR","AUS","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","WPR","AUS","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","WPR","AUS","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","AUT","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","AUT","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","AUT","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","AUT","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","BHS","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","BHS","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","BHS","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","BHS","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","SEAR","BGD","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","SEAR","BGD","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","SEAR","BGD","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","SEAR","BGD","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","BLR","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","EUR","BLR","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","BLR","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","BLR","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","BEL","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","BEL","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","BEL","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","BEL","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","BLZ","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","AMR","BLZ","PREVENTION","no","","","",""
"RSUD_85","PUBLISHED","2008","AMR","BLZ","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AMR","BLZ","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BEN","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BEN","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BEN","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BEN","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BWA","PREVENTION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BWA","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BWA","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BWA","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","WPR","BRN","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","WPR","BRN","PREVENTION","no","","","",""
"RSUD_85","PUBLISHED","2008","WPR","BRN","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","WPR","BRN","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","EUR","BGR","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","BGR","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","BGR","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","BGR","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BFA","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BFA","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BFA","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BFA","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BDI","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BDI","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BDI","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","BDI","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","CMR","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","CMR","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","CMR","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","CMR","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","CAN","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","CAN","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","CAN","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","CAN","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","CPV","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","CPV","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","CPV","PREVENTION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","CPV","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","CAF","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","CAF","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","CAF","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","CAF","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","TCD","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","TCD","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","TCD","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","TCD","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","CHL","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AMR","CHL","PREVENTION","no","","","",""
"RSUD_85","PUBLISHED","2008","AMR","CHL","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AMR","CHL","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","WPR","CHN","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","WPR","CHN","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","WPR","CHN","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","WPR","CHN","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","COL","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","COL","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","COL","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","COL","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","COM","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","COM","PREVENTION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","COM","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","COM","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","COG","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","COG","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","COG","PREVENTION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","COG","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AMR","CRI","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","CRI","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","HRV","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","HRV","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","HRV","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","HRV","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","CYP","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","CYP","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","CYP","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","CYP","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","COD","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","COD","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","COD","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","COD","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","DNK","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","DNK","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","DNK","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","DNK","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","DOM","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","DOM","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","DOM","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","DOM","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","ECU","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","ECU","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EMR","EGY","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EMR","EGY","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","EMR","EGY","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","EMR","EGY","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","SLV","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","SLV","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","SLV","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AMR","SLV","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","GNQ","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","GNQ","PREVENTION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","GNQ","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","GNQ","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","ERI","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","ERI","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","ERI","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","ERI","PREVENTION","no","","","",""
"RSUD_85","PUBLISHED","2008","EUR","EST","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","EST","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","EST","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","EUR","EST","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","ETH","PREVENTION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","ETH","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","ETH","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","ETH","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","WPR","FJI","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","WPR","FJI","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","WPR","FJI","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","WPR","FJI","PREVENTION","no","","","",""
"RSUD_85","PUBLISHED","2008","EUR","FIN","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","FIN","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","FIN","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","FIN","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","FRA","REHABILITATION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","FRA","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","FRA","TREATMENT","yes","","","",""
"RSUD_85","PUBLISHED","2008","EUR","FRA","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","GAB","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","GAB","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","GAB","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","GAB","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","GMB","PREVENTION","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","GMB","ADVOCACY","yes","","","",""
"RSUD_85","PUBLISHED","2008","AFR","GMB","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","AFR","GMB","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","EUR","GEO","ADVOCACY","no","","","",""
"RSUD_85","PUBLISHED","2008","EUR","GEO","REHABILITATION","no","","","",""
"RSUD_85","PUBLISHED","2008","EUR","GEO","TREATMENT","no","","","",""
"RSUD_85","PUBLISHED","2008","EUR","GEO","PREVENTION","no","","","",""
