"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SOCIALCOSTTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001477","PUBLISHED","2007","AMR","ARG","SA_DIRECT_HEALTH_COSTS","176.6","176.60000","","",""
"SA_0000001477","PUBLISHED","2007","AMR","ARG","SA_INDIRECT_COSTS","476.5","476.50000","","",""
"SA_0000001477","PUBLISHED","2007","AMR","ARG","SA_TOTAL_COSTS","947.9","947.90000","","",""
"SA_0000001477","PUBLISHED","2007","AMR","ARG","SA_DIRECT_OTHER_COSTS","294.8","294.80000","","",""
"SA_0000001477","PUBLISHED","2007","EUR","DEU","SA_DIRECT_LAW_COSTS","0.0","0.00000","","",""
"SA_0000001477","PUBLISHED","2007","EUR","DEU","SA_INDIRECT_COSTS","21281.8","21281.80000","","",""
"SA_0000001477","PUBLISHED","2007","EUR","DEU","SA_DIRECT_HEALTH_COSTS","9421.2","9421.20000","","",""
"SA_0000001477","PUBLISHED","2007","EUR","DEU","SA_DIRECT_OTHER_COSTS","1836.5","1836.50000","","",""
"SA_0000001477","PUBLISHED","2007","EUR","DEU","SA_TOTAL_COSTS","32539.5","32539.50000","","",""
"SA_0000001477","PUBLISHED","1996","EUR","ITA","SA_DIRECT_OTHER_COSTS","3392.2","3392.20000","","",""
"SA_0000001477","PUBLISHED","1996","EUR","ITA","SA_DIRECT_LAW_COSTS","150.0","150.00000","","",""
"SA_0000001477","PUBLISHED","1996","EUR","ITA","SA_INDIRECT_COSTS","5725.9","5725.90000","","",""
"SA_0000001477","PUBLISHED","1996","EUR","ITA","SA_TOTAL_COSTS","11573.5","11573.50000","","",""
"SA_0000001477","PUBLISHED","1996","EUR","ITA","SA_DIRECT_HEALTH_COSTS","2305.5","2305.50000","","",""
"SA_0000001477","PUBLISHED","1997","EUR","FRA","SA_DIRECT_HEALTH_COSTS","4045.6","4045.60000","","",""
"SA_0000001477","PUBLISHED","1997","EUR","FRA","SA_DIRECT_LAW_COSTS","80.7","80.70000","","",""
"SA_0000001477","PUBLISHED","1997","EUR","FRA","SA_INDIRECT_COSTS","12639.7","12639.70000","","",""
"SA_0000001477","PUBLISHED","1997","EUR","FRA","SA_DIRECT_OTHER_COSTS","8581.4","8581.40000","","",""
"SA_0000001477","PUBLISHED","1997","EUR","FRA","SA_TOTAL_COSTS","25347.4","25347.40000","","",""
"SA_0000001477","PUBLISHED","1998","WPR","AUS","SA_INDIRECT_COSTS","1905.8","1905.80000","","",""
"SA_0000001477","PUBLISHED","1998","WPR","AUS","SA_DIRECT_OTHER_COSTS","2300.5","2300.50000","","",""
"SA_0000001477","PUBLISHED","1998","WPR","AUS","SA_DIRECT_HEALTH_COSTS","212.3","212.30000","","",""
"SA_0000001477","PUBLISHED","1998","WPR","AUS","SA_DIRECT_LAW_COSTS","809.0","809.00000","","",""
"SA_0000001477","PUBLISHED","1998","WPR","AUS","SA_TOTAL_COSTS","5227.6","5227.60000","","",""
"SA_0000001477","PUBLISHED","1998","AMR","CHL","SA_INDIRECT_COSTS","2826.8","2826.80000","","",""
"SA_0000001477","PUBLISHED","1998","AMR","CHL","SA_DIRECT_OTHER_COSTS","21.0","21.00000","","",""
"SA_0000001477","PUBLISHED","1998","AMR","CHL","SA_DIRECT_HEALTH_COSTS","113.8","113.80000","","",""
"SA_0000001477","PUBLISHED","1998","AMR","CHL","SA_DIRECT_LAW_COSTS","8.3","8.30000","","",""
"SA_0000001477","PUBLISHED","1998","AMR","CHL","SA_TOTAL_COSTS","2969.9","2969.90000","","",""
"SA_0000001477","PUBLISHED","2000","AMR","USA","SA_DIRECT_HEALTH_COSTS","28829.7","28829.70000","","",""
"SA_0000001477","PUBLISHED","2000","AMR","USA","SA_TOTAL_COSTS","216154.5","216154.50000","","",""
"SA_0000001477","PUBLISHED","2000","AMR","USA","SA_DIRECT_LAW_COSTS","7408.2","7408.20000","","",""
"SA_0000001477","PUBLISHED","2000","AMR","USA","SA_DIRECT_OTHER_COSTS","22802.9","22802.90000","","",""
"SA_0000001477","PUBLISHED","2000","AMR","USA","SA_INDIRECT_COSTS","157113.8","157113.80000","","",""
"SA_0000001477","PUBLISHED","2002","AMR","CAN","SA_INDIRECT_COSTS","6834.5","6834.50000","","",""
"SA_0000001477","PUBLISHED","2002","AMR","CAN","SA_DIRECT_OTHER_COSTS","1006.2","1006.20000","","",""
"SA_0000001477","PUBLISHED","2002","AMR","CAN","SA_TOTAL_COSTS","13957.9","13957.90000","","",""
"SA_0000001477","PUBLISHED","2002","AMR","CAN","SA_DIRECT_LAW_COSTS","2946.4","2946.40000","","",""
