"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"csection","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","AFGMICS201002","","2.0 [1.1-3.8]","2.00000","1.00000","4.00000",""
"csection","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","DZAMICS200004","","No data","","","","Not available."
"csection","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201501","","3.0 [1.3-6.7]","3.00000","1.00000","7.00000",""
"csection","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200001","","9.3 [4.8-17.4]","9.00000","5.00000","17.00000",""
"csection","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200006","","4.8 [1.1-18.0]","5.00000","1.00000","18.00000","Attention - Estimate is based on 25-49 cases."
"csection","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200011","","11.3 [7.1-17.4]","11.00000","7.00000","17.00000",""
"csection","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201006","","12.1 [7.3-19.3]","12.00000","7.00000","19.00000",""
"csection","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201007","","14.7 [8.7-23.6]","15.00000","9.00000","24.00000",""
"csection","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201011","","22.0 [15.5-30.3]","22.00000","16.00000","30.00000",""
"csection","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","BGDDHS199902","","1.7 [1.0-3.0]","2.00000","1.00000","3.00000",""
"csection","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","","BGDMICS201206","","11.7 [9.4-14.4]","12.00000","9.00000","14.00000",""
"csection","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","BGDDHS201405","","22.3 [18.1-27.0]","22.00000","18.00000","27.00000",""
"csection","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","BLZMICS201507","","20.9 [15.0-28.4]","21.00000","15.00000","28.00000",""
"csection","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","BENDHS201112","","6.2 [4.6-8.3]","6.00000","5.00000","8.00000",""
"csection","EQ_DHS","PUBLISHED","1994","AMR","BOL","","","","BOLDHS199401","","5.2 [3.9-6.9]","5.00000","4.00000","7.00000",""
"csection","EQ_MICS","PUBLISHED","2011","EUR","BIH","","","","BIHMICS201102","","No data","","","","Not available."
"csection","EQ_MICS","PUBLISHED","2000","AFR","BWA","","","","BWAMICS200003","","No data","","","","Not available."
"csection","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","BFADHS200307","","No data","","","","Not available."
"csection","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","BFADHS200307","","0.4 [0.1-1.5]","0.00000","0.00000","2.00000",""
"csection","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","BFADHS200309","","0.2 [0.0-1.7]","0.00000","0.00000","2.00000",""
"csection","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","BOLDHS199804","","6.1 [3.9-9.4]","6.00000","4.00000","9.00000",""
"csection","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","BOLDHS199802","","11.4 [9.1-14.2]","11.00000","9.00000","14.00000",""
"csection","EQ_MICS","PUBLISHED","2000","AFR","BDI","","","","BDIMICS200002","","No data","","","","Not available."
"csection","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","KHMDHS201018","","1.0 [0.2-5.0]","1.00000","0.00000","5.00000",""
"csection","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","KHMDHS201019","","2.7 [1.4-5.4]","3.00000","1.00000","5.00000",""
"csection","EQ_MICS","PUBLISHED","2005","AFR","BDI","","","","BDIMICS200501","","No data","","","","Not available."
"csection","EQ_DHS","PUBLISHED","2016","AFR","BDI","","","","BDIDHS201602","","6.0 [3.7-9.5]","6.00000","4.00000","10.00000",""
"csection","EQ_DHS","PUBLISHED","2004","AFR","CMR","","","","CMRDHS200409","","2.3 [1.4-3.9]","2.00000","1.00000","4.00000",""
"csection","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","KHMDHS200516","","1.2 [0.3-5.3]","1.00000","0.00000","5.00000",""
"csection","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","KHMDHS201402","","8.6 [5.6-13.1]","9.00000","6.00000","13.00000",""
"csection","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","KHMDHS201405","","6.0 [3.5-10.2]","6.00000","3.00000","10.00000",""
"csection","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","KHMDHS200004","","0.5 [0.1-2.2]","1.00000","0.00000","2.00000",""
"csection","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","KHMDHS200007","","0.6 [0.1-3.9]","1.00000","0.00000","4.00000",""
"csection","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","KHMDHS200008","","1.2 [0.3-5.6]","1.00000","0.00000","6.00000",""
"csection","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","","CMRDHS201101","","2.4 [1.0-5.3]","2.00000","1.00000","5.00000",""
"csection","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","","CMRDHS201112","","12.6 [9.3-17.0]","13.00000","9.00000","17.00000",""
"csection","EQ_DHS","PUBLISHED","1996","AFR","TCD","","","","TCDDHS199604","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"csection","EQ_DHS","PUBLISHED","1996","AFR","TCD","","","","TCDDHS199609","","0.6 [0.1-2.4]","1.00000","0.00000","2.00000",""
"csection","EQ_MICS","PUBLISHED","2010","AFR","TCD","","","","TCDMICS201012","","1.5 [0.5-3.9]","1.00000","1.00000","4.00000",""
"csection","EQ_MICS","PUBLISHED","2010","AFR","TCD","","","","TCDMICS201019","","1.2 [0.4-3.7]","1.00000","0.00000","4.00000",""
"csection","EQ_DHS","PUBLISHED","1995","AMR","COL","","","","COLDHS199503","","16.9 [13.9-20.4]","17.00000","14.00000","20.00000",""
