"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EMFEXPOSED","EMFFREQUENCY","Display Value","Numeric","Low","High","Comments"
"EMFSTANDARD","PUBLISHED","2017","EUR","AUT","EMFPUBLIC","EMFLOW","Yes","","","",""
"EMFSTANDARD","PUBLISHED","2017","EUR","AUT","EMFPUBLIC","EMFRADIO","Yes","","","",""
"EMFSTANDARD","PUBLISHED","2017","EUR","BEL","EMFPUBLIC","EMFSTATIC","No","","","",""
"EMFSTANDARD","PUBLISHED","2017","EUR","BEL","EMFPUBLIC","EMFLOW","Subnational","","","",""
"EMFSTANDARD","PUBLISHED","2017","EUR","BEL","EMFPUBLIC","EMFRADIO","Subnational","","","",""
"EMFSTANDARD","PUBLISHED","2017","SEAR","BGD","EMFPUBLIC","EMFLOW","In preparation","","","",""
"EMFSTANDARD","PUBLISHED","2017","SEAR","BGD","EMFPUBLIC","EMFRADIO","In preparation","","","",""
"EMFSTANDARD","PUBLISHED","2017","SEAR","BGD","EMFPUBLIC","EMFSTATIC","No","","","",""
"EMFSTANDARD","PUBLISHED","2017","WPR","AUS","EMFPUBLIC","EMFSTATIC","In preparation","","","",""
"EMFSTANDARD","PUBLISHED","2017","WPR","AUS","EMFPUBLIC","EMFLOW","Yes","","","",""
"EMFSTANDARD","PUBLISHED","2017","WPR","AUS","EMFPUBLIC","EMFRADIO","Yes","","","",""
"EMFSTANDARD","PUBLISHED","2017","EUR","AUT","EMFPUBLIC","EMFSTATIC","Yes","","","",""
"EMFSTANDARD","PUBLISHED","2017","EUR","BGR","EMFPUBLIC","EMFSTATIC","No","","","",""
"EMFSTANDARD","PUBLISHED","2017","EUR","FRA","EMFPUBLIC","EMFLOW","Yes","","","",""
"EMFSTANDARD","PUBLISHED","2017","EUR","FRA","EMFPUBLIC","EMFRADIO","Yes","","","",""
"EMFSTANDARD","PUBLISHED","2017","EUR","GBR","EMFPUBLIC","EMFSTATIC","Yes","","","",""
"EMFSTANDARD","PUBLISHED","2017","EUR","GBR","EMFPUBLIC","EMFLOW","Yes","","","",""
