"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"BP_06","PUBLISHED","1977","EMR","AFG","YEARS18-PLUS","MLE","121.4 [111.9-130.8]","121.40000","111.90000","130.80000",""
"BP_06","PUBLISHED","2001","EMR","AFG","YEARS18-PLUS","MLE","125.0 [118.0-132.1]","125.00000","118.00000","132.10000",""
"BP_06","PUBLISHED","1983","EUR","ALB","YEARS18-PLUS","MLE","131.5 [125.6-137.4]","131.50000","125.60000","137.40000",""
"BP_06","PUBLISHED","1993","EUR","ALB","YEARS18-PLUS","MLE","131.2 [125.7-136.6]","131.20000","125.70000","136.60000",""
"BP_06","PUBLISHED","1984","AFR","DZA","YEARS18-PLUS","MLE","127.3 [121.0-133.7]","127.30000","121.00000","133.70000",""
"BP_06","PUBLISHED","1993","AFR","DZA","YEARS18-PLUS","MLE","127.5 [121.9-133.2]","127.50000","121.90000","133.20000",""
"BP_06","PUBLISHED","2004","AMR","ATG","YEARS18-PLUS","MLE","127.4 [120.7-134.2]","127.40000","120.70000","134.20000",""
"BP_06","PUBLISHED","2013","AMR","ATG","YEARS18-PLUS","MLE","128.9 [120.8-136.9]","128.90000","120.80000","136.90000",""
"BP_06","PUBLISHED","1980","EUR","ARM","YEARS18-PLUS","MLE","131.9 [123.8-139.4]","131.90000","123.80000","139.40000",""
"BP_06","PUBLISHED","1996","EUR","ARM","YEARS18-PLUS","MLE","131.3 [125.6-136.9]","131.30000","125.60000","136.90000",""
"BP_06","PUBLISHED","1999","WPR","AUS","YEARS18-PLUS","MLE","128.3 [126.1-130.5]","128.30000","126.10000","130.50000",""
"BP_06","PUBLISHED","2015","WPR","AUS","YEARS18-PLUS","MLE","123.9 [119.4-128.3]","123.90000","119.40000","128.30000",""
"BP_06","PUBLISHED","1992","EMR","BHR","YEARS18-PLUS","MLE","128.3 [122.6-133.9]","128.30000","122.60000","133.90000",""
"BP_06","PUBLISHED","1984","EMR","BHR","YEARS18-PLUS","MLE","129.7 [122.9-136.3]","129.70000","122.90000","136.30000",""
"BP_06","PUBLISHED","1993","SEAR","BGD","YEARS18-PLUS","MLE","120.2 [113.6-126.9]","120.20000","113.60000","126.90000",""
"BP_06","PUBLISHED","1993","EUR","AND","YEARS18-PLUS","MLE","130.8 [123.8-137.6]","130.80000","123.80000","137.60000",""
"BP_06","PUBLISHED","1977","AFR","AGO","YEARS18-PLUS","MLE","128.5 [119.4-137.7]","128.50000","119.40000","137.70000",""
"BP_06","PUBLISHED","1990","AMR","ATG","YEARS18-PLUS","MLE","126.8 [119.6-133.9]","126.80000","119.60000","133.90000",""
"BP_06","PUBLISHED","1997","EUR","BEL","YEARS18-PLUS","MLE","130.6 [128.2-133.0]","130.60000","128.20000","133.00000",""
"BP_06","PUBLISHED","1991","AMR","BLZ","YEARS18-PLUS","MLE","125.7 [119.8-131.4]","125.70000","119.80000","131.40000",""
"BP_06","PUBLISHED","1999","EUR","AZE","YEARS18-PLUS","MLE","128.5 [123.3-133.7]","128.50000","123.30000","133.70000",""
"BP_06","PUBLISHED","1992","EUR","AZE","YEARS18-PLUS","MLE","128.5 [122.7-134.4]","128.50000","122.70000","134.40000",""
"BP_06","PUBLISHED","1977","EMR","BHR","YEARS18-PLUS","MLE","130.7 [121.5-139.6]","130.70000","121.50000","139.60000",""
"BP_06","PUBLISHED","2009","AMR","BHS","YEARS18-PLUS","MLE","128.9 [122.1-135.8]","128.90000","122.10000","135.80000",""
"BP_06","PUBLISHED","2003","EUR","BLR","YEARS18-PLUS","MLE","134.7 [128.6-140.7]","134.70000","128.60000","140.70000",""
"BP_06","PUBLISHED","2005","EUR","BLR","YEARS18-PLUS","MLE","134.6 [128.5-140.7]","134.60000","128.50000","140.70000",""
"BP_06","PUBLISHED","2012","EUR","BLR","YEARS18-PLUS","MLE","134.7 [127.6-142.2]","134.70000","127.60000","142.20000",""
"BP_06","PUBLISHED","1988","EUR","BEL","YEARS18-PLUS","MLE","132.0 [129.7-134.3]","132.00000","129.70000","134.30000",""
"BP_06","PUBLISHED","1975","SEAR","BTN","YEARS18-PLUS","MLE","121.6 [112.0-130.7]","121.60000","112.00000","130.70000",""
"BP_06","PUBLISHED","1982","SEAR","BTN","YEARS18-PLUS","MLE","122.4 [115.2-129.4]","122.40000","115.20000","129.40000",""
