"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","DRUG","Display Value","Numeric","Low","High","Comments"
"RSUD_68","PUBLISHED","2008","EMR","AFG","NEW_ANTIPSYCHOTICS","yes","","","",""
"RSUD_68","PUBLISHED","2008","EMR","AFG","FLUMAZENIL","no","","","",""
"RSUD_68","PUBLISHED","2008","EMR","AFG","CHLORPROMAZINE","yes","","","",""
"RSUD_68","PUBLISHED","2008","EMR","AFG","ACAMPROSATE","no","","","",""
"RSUD_68","PUBLISHED","2008","EMR","AFG","GABAPENTIN","no","","","",""
"RSUD_68","PUBLISHED","2008","EMR","AFG","ALCOHOL_INFUSION","no","","","",""
"RSUD_68","PUBLISHED","2008","EMR","AFG","BENZODIAZEPINES","yes","","","",""
"RSUD_68","PUBLISHED","2008","EMR","AFG","TIAGABINE","no","","","",""
"RSUD_68","PUBLISHED","2008","EMR","AFG","NITROUS_OXIDE","no","","","",""
"RSUD_68","PUBLISHED","2008","EUR","ALB","NITROUS_OXIDE","no","","","",""
"RSUD_68","PUBLISHED","2008","EUR","ALB","ALCOHOL_INFUSION","no","","","",""
"RSUD_68","PUBLISHED","2008","EUR","ALB","ACAMPROSATE","yes","","","",""
"RSUD_68","PUBLISHED","2008","EUR","ALB","BENZODIAZEPINES","yes","","","",""
"RSUD_68","PUBLISHED","2008","EUR","ALB","FLUMAZENIL","no","","","",""
"RSUD_68","PUBLISHED","2008","EUR","ALB","CHLORPROMAZINE","no","","","",""
"RSUD_68","PUBLISHED","2008","EUR","ALB","GABAPENTIN","no","","","",""
"RSUD_68","PUBLISHED","2008","EUR","ALB","TIAGABINE","no","","","",""
"RSUD_68","PUBLISHED","2008","EUR","ALB","NEW_ANTIPSYCHOTICS","no","","","",""
"RSUD_68","PUBLISHED","2008","AFR","DZA","GABAPENTIN","no","","","",""
"RSUD_68","PUBLISHED","2008","AFR","DZA","NITROUS_OXIDE","no","","","",""
"RSUD_68","PUBLISHED","2008","AFR","DZA","BENZODIAZEPINES","yes","","","",""
"RSUD_68","PUBLISHED","2008","AFR","DZA","NEW_ANTIPSYCHOTICS","yes","","","",""
"RSUD_68","PUBLISHED","2008","AFR","DZA","FLUMAZENIL","no","","","",""
"RSUD_68","PUBLISHED","2008","AFR","DZA","CHLORPROMAZINE","yes","","","",""
"RSUD_68","PUBLISHED","2008","AFR","DZA","ALCOHOL_INFUSION","no","","","",""
"RSUD_68","PUBLISHED","2008","AFR","DZA","ACAMPROSATE","no","","","",""
"RSUD_68","PUBLISHED","2008","AFR","DZA","TIAGABINE","no","","","",""
"RSUD_68","PUBLISHED","2008","AFR","AGO","TIAGABINE","no","","","",""
