"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RSUDMONITORING","Display Value","Numeric","Low","High","Comments"
"RSUD_850","PUBLISHED","2014","EMR","AFG","FORENSIC_EXAMS","No","","","",""
"RSUD_850","PUBLISHED","2014","EMR","AFG","TOXICOLOGY_UNITS","No","","","",""
"RSUD_850","PUBLISHED","2014","EUR","ALB","FORENSIC_EXAMS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","EUR","ALB","TOXICOLOGY_UNITS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","EUR","AND","FORENSIC_EXAMS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","EUR","AND","TOXICOLOGY_UNITS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","WPR","AUS","FORENSIC_EXAMS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","EUR","AUT","FORENSIC_EXAMS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","EUR","AUT","TOXICOLOGY_UNITS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","EUR","AZE","FORENSIC_EXAMS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","EUR","BEL","FORENSIC_EXAMS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","EUR","BEL","TOXICOLOGY_UNITS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","AFR","BFA","FORENSIC_EXAMS","No","","","",""
"RSUD_850","PUBLISHED","2014","AFR","BFA","TOXICOLOGY_UNITS","No","","","",""
"RSUD_850","PUBLISHED","2014","SEAR","BGD","FORENSIC_EXAMS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","EUR","BIH","FORENSIC_EXAMS","No","","","",""
"RSUD_850","PUBLISHED","2014","EUR","BIH","TOXICOLOGY_UNITS","No","","","",""
"RSUD_850","PUBLISHED","2014","EUR","BLR","FORENSIC_EXAMS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","EUR","BLR","TOXICOLOGY_UNITS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","AMR","BLZ","FORENSIC_EXAMS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","AMR","BLZ","TOXICOLOGY_UNITS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","AMR","BRA","FORENSIC_EXAMS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","AMR","BRB","FORENSIC_EXAMS","No","","","",""
"RSUD_850","PUBLISHED","2014","AMR","BRB","TOXICOLOGY_UNITS","No","","","",""
"RSUD_850","PUBLISHED","2014","WPR","BRN","FORENSIC_EXAMS","No","","","",""
"RSUD_850","PUBLISHED","2014","WPR","BRN","TOXICOLOGY_UNITS","No","","","",""
"RSUD_850","PUBLISHED","2014","SEAR","BTN","FORENSIC_EXAMS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","AFR","CAF","FORENSIC_EXAMS","No","","","",""
"RSUD_850","PUBLISHED","2014","AFR","CAF","TOXICOLOGY_UNITS","No","","","",""
"RSUD_850","PUBLISHED","2014","AMR","CAN","FORENSIC_EXAMS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","AMR","CAN","TOXICOLOGY_UNITS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","EUR","CHE","FORENSIC_EXAMS","Yes","","","",""
"RSUD_850","PUBLISHED","2014","AMR","CHL","FORENSIC_EXAMS","No","","","",""
"RSUD_850","PUBLISHED","2014","AMR","CHL","TOXICOLOGY_UNITS","No","","","",""
"RSUD_850","PUBLISHED","2014","WPR","CHN","FORENSIC_EXAMS","No","","","",""
"RSUD_850","PUBLISHED","2014","WPR","CHN","TOXICOLOGY_UNITS","No","","","",""
"RSUD_850","PUBLISHED","2014","AFR","COD","FORENSIC_EXAMS","No","","","",""
"RSUD_850","PUBLISHED","2014","AFR","COD","TOXICOLOGY_UNITS","No","","","",""
"RSUD_850","PUBLISHED","2014","AFR","COG","FORENSIC_EXAMS","No","","","",""
"RSUD_850","PUBLISHED","2014","AFR","COG","TOXICOLOGY_UNITS","No","","","",""
"RSUD_850","PUBLISHED","2014","AMR","COL","FORENSIC_EXAMS","No","","","",""
