"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PROGRAMME","Display Value","Numeric","Low","High","Comments"
"RSUD_79","PUBLISHED","2008","EMR","AFG","OUTREACH_SERVICES","no","","","",""
"RSUD_79","PUBLISHED","2008","EMR","AFG","NEEDLE_EXCH_PRGRMS_COMMUNITY","yes","","","",""
"RSUD_79","PUBLISHED","2008","EMR","AFG","NEEDLE_EXCH_PRGRMS_PRISONS","yes","","","",""
"RSUD_79","PUBLISHED","2008","EMR","AFG","BLEACH_DISTRBTN_PRISONS","no","","","",""
"RSUD_79","PUBLISHED","2008","EMR","AFG","BLEACH_DISTRUBTN_COMMUNITY","no","","","",""
"RSUD_79","PUBLISHED","2008","EMR","AFG","SUPERVSD_INJECTION_FACILITIES","no","","","",""
"RSUD_79","PUBLISHED","2008","EMR","AFG","NALOXONE_DISTRIBUTION","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","ALB","NALOXONE_DISTRIBUTION","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","ALB","OUTREACH_SERVICES","yes","","","",""
"RSUD_79","PUBLISHED","2008","EUR","ALB","BLEACH_DISTRUBTN_COMMUNITY","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","ALB","NEEDLE_EXCH_PRGRMS_COMMUNITY","yes","","","",""
"RSUD_79","PUBLISHED","2008","EUR","ALB","BLEACH_DISTRBTN_PRISONS","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","ALB","NEEDLE_EXCH_PRGRMS_PRISONS","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","ALB","SUPERVSD_INJECTION_FACILITIES","no","","","",""
"RSUD_79","PUBLISHED","2008","AFR","DZA","BLEACH_DISTRBTN_PRISONS","no","","","",""
"RSUD_79","PUBLISHED","2008","AFR","DZA","SUPERVSD_INJECTION_FACILITIES","no","","","",""
"RSUD_79","PUBLISHED","2008","AFR","DZA","BLEACH_DISTRUBTN_COMMUNITY","no","","","",""
"RSUD_79","PUBLISHED","2008","AFR","DZA","NEEDLE_EXCH_PRGRMS_PRISONS","no","","","",""
"RSUD_79","PUBLISHED","2008","AFR","DZA","OUTREACH_SERVICES","no","","","",""
"RSUD_79","PUBLISHED","2008","AFR","DZA","NALOXONE_DISTRIBUTION","no","","","",""
"RSUD_79","PUBLISHED","2008","AFR","DZA","NEEDLE_EXCH_PRGRMS_COMMUNITY","no","","","",""
"RSUD_79","PUBLISHED","2008","AFR","AGO","SUPERVSD_INJECTION_FACILITIES","no","","","",""
"RSUD_79","PUBLISHED","2008","AFR","AGO","BLEACH_DISTRUBTN_COMMUNITY","no","","","",""
"RSUD_79","PUBLISHED","2008","AFR","AGO","NALOXONE_DISTRIBUTION","no","","","",""
"RSUD_79","PUBLISHED","2008","AFR","AGO","NEEDLE_EXCH_PRGRMS_COMMUNITY","no","","","",""
"RSUD_79","PUBLISHED","2008","AFR","AGO","OUTREACH_SERVICES","no","","","",""
"RSUD_79","PUBLISHED","2008","AFR","AGO","BLEACH_DISTRBTN_PRISONS","no","","","",""
"RSUD_79","PUBLISHED","2008","AFR","AGO","NEEDLE_EXCH_PRGRMS_PRISONS","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","ARM","NEEDLE_EXCH_PRGRMS_PRISONS","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","ARM","BLEACH_DISTRUBTN_COMMUNITY","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","ARM","BLEACH_DISTRBTN_PRISONS","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","ARM","SUPERVSD_INJECTION_FACILITIES","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","ARM","OUTREACH_SERVICES","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","ARM","NEEDLE_EXCH_PRGRMS_COMMUNITY","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","ARM","NALOXONE_DISTRIBUTION","no","","","",""
"RSUD_79","PUBLISHED","2008","WPR","AUS","NEEDLE_EXCH_PRGRMS_PRISONS","no","","","",""
"RSUD_79","PUBLISHED","2008","WPR","AUS","NEEDLE_EXCH_PRGRMS_COMMUNITY","yes","","","",""
"RSUD_79","PUBLISHED","2008","WPR","AUS","BLEACH_DISTRUBTN_COMMUNITY","yes","","","",""
"RSUD_79","PUBLISHED","2008","WPR","AUS","OUTREACH_SERVICES","yes","","","",""
"RSUD_79","PUBLISHED","2008","WPR","AUS","NALOXONE_DISTRIBUTION","yes","","","",""
"RSUD_79","PUBLISHED","2008","WPR","AUS","BLEACH_DISTRBTN_PRISONS","yes","","","",""
"RSUD_79","PUBLISHED","2008","WPR","AUS","SUPERVSD_INJECTION_FACILITIES","yes","","","",""
"RSUD_79","PUBLISHED","2008","EUR","AUT","NEEDLE_EXCH_PRGRMS_COMMUNITY","yes","","","",""
"RSUD_79","PUBLISHED","2008","EUR","AUT","NALOXONE_DISTRIBUTION","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","AUT","OUTREACH_SERVICES","yes","","","",""
"RSUD_79","PUBLISHED","2008","EUR","AUT","NEEDLE_EXCH_PRGRMS_PRISONS","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","AUT","SUPERVSD_INJECTION_FACILITIES","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","AUT","BLEACH_DISTRUBTN_COMMUNITY","yes","","","",""
"RSUD_79","PUBLISHED","2008","EUR","AUT","BLEACH_DISTRBTN_PRISONS","no","","","",""
"RSUD_79","PUBLISHED","2008","EUR","AZE","NEEDLE_EXCH_PRGRMS_COMMUNITY","yes","","","",""
"RSUD_79","PUBLISHED","2008","EMR","BHR","SUPERVSD_INJECTION_FACILITIES","no","","","",""
