"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SI_POV_DAY1","PUBLISHED","2000","AFR","","AGO","32.3","32.30000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2008","AFR","","AGO","30.1","30.10000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2002","EUR","","ALB","2.0","2.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2005","EUR","","ALB","1.1","1.10000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2008","EUR","","ALB","0.4","0.40000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2012","EUR","","ALB","1.1","1.10000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2000","AMR","","ARG","5.7","5.70000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2001","AMR","","ARG","9.4","9.40000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2002","AMR","","ARG","14.0","14.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2003","AMR","","ARG","7.0","7.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2004","AMR","","ARG","5.4","5.40000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2005","AMR","","ARG","3.9","3.90000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2006","AMR","","ARG","3.3","3.30000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2007","AMR","","ARG","2.9","2.90000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2008","AMR","","ARG","2.6","2.60000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2009","AMR","","ARG","2.6","2.60000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2010","AMR","","ARG","1.1","1.10000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2011","AMR","","ARG","0.9","0.90000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2012","AMR","","ARG","0.8","0.80000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2013","AMR","","ARG","0.8","0.80000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
