"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EMR","AFG","14","14.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EMR","PAK","8","8.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","BFA","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","SEAR","BGD","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EUR","BGR","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EMR","BHR","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AMR","CHL","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","WPR","CHN","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","CIV","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","CMR","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","DZA","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AMR","ECU","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EMR","EGY","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","ERI","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","GMB","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","GNB","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","GNQ","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EUR","GRC","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EUR","ISR","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EUR","ITA","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AMR","JAM","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EMR","JOR","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","SEAR","LKA","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","LSO","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EUR","LTU","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EUR","LUX","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","MOZ","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","MRT","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","MUS","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","MWI","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","WPR","MYS","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","WPR","PNG","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EUR","POL","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","SEAR","PRK","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EUR","PRT","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EUR","SRB","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","SSD","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","STP","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AMR","SUR","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AMR","TTO","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EMR","TUN","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","EUR","TUR","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","TZA","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","ZMB","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2017","AFR","ZWE","0","0.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2018","EMR","AFG","21","21.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2018","EMR","PAK","12","12.00000","","",""
"VACCINEPREVENTABLE_WILDPOLIO","PUBLISHED","2018","SEAR","BGD","0","0.00000","","",""
