"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SUNBED_INFO","Display Value","Numeric","Low","High","Comments"
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","AUT","CONSENTFORM","No","","","","Labelling  ""UV-Typ Nummer 3"""
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","AUT","HEALTHCLAIM","Yes","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","AUT","WARNING","Yes","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","BEL","CONSENTFORM","Yes","","","","""Ultraviolet radiation can cause skin cancer and seriously damage the eyes. The wearing of eye protection is compulsory. Some medications and cosmetics can cause adverse skin reactions. Exposure to artificial ultraviolet radiation is prohibited to persons under 18 and persons with skin type 1. """
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","BEL","HEALTHCLAIM","No","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","BEL","WARNING","Yes","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","AMR","BRA","CONSENTFORM","NA","","","","not applicable because sunbeds are banned"
"SUNBEDREG_INFO","PUBLISHED","2017","AMR","BRA","HEALTHCLAIM","NA","","","","not applicable because sunbeds are banned"
"SUNBEDREG_INFO","PUBLISHED","2017","AMR","BRA","WARNING","NA","","","","not applicable because sunbeds are banned"
"SUNBEDREG_INFO","PUBLISHED","2017","AMR","CAN","CONSENTFORM","No","","","","The Federal Government does not have any authority over the commercial provision of tanning services, as this is the authority of subnational governments.  However, federal legislation/regulation does require that all tanning equipment sold, manufactured, or imported must require information labelling containing irradiance levels and recommended exposure time. A warning label is required which includes language discouraging youth from using tanning equipment."
"SUNBEDREG_INFO","PUBLISHED","2017","AMR","CAN","HEALTHCLAIM","No","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","AMR","CAN","WARNING","No","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","CHE","CONSENTFORM","No","","","","Signs listings contraindications, e.g. pregnancy, photosensitizing drugs , and indicating the risk according to UV tanning time ."
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","CHE","HEALTHCLAIM","No","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","CHE","WARNING","Yes","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","AMR","CHL","CONSENTFORM","Yes","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","AMR","CHL","HEALTHCLAIM","Yes","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","AMR","CHL","WARNING","Yes","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","AMR","COL","CONSENTFORM","Yes","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","AMR","COL","HEALTHCLAIM","Yes","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","AMR","COL","WARNING","Yes","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","DEU","CONSENTFORM","No","","","","Labelling of UV output and tanning times "
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","DEU","HEALTHCLAIM","Yes","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","DEU","WARNING","Yes ","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","DNK","CONSENTFORM","No","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","DNK","HEALTHCLAIM","Yes","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","DNK","WARNING","Yes ","","","",""
"SUNBEDREG_INFO","PUBLISHED","2017","EUR","ESP","CONSENTFORM","Yes","","","",""
