"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","GROUP","Display Value","Numeric","Low","High","Comments"
"RSUD_570","PUBLISHED","2014","EMR","AFG","COMMUNITY_GROUPS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","AFG","NGOS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","AFG","RELIGIOUS_GROUPS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","AFG","SCHOOLS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","AFG","SOCIAL_WORKERS_GRP","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","AFG","LABOUR_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","AFG","HEALTH_CARE_WORKERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","AFG","LAW_ENFORCEMENT_AGENCIES","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","AFG","INTERNATIONAL_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ALB","NGOS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ALB","RELIGIOUS_GROUPS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ALB","SCHOOLS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ALB","EMPLOYERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ALB","HEALTH_CARE_WORKERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ALB","LAW_ENFORCEMENT_AGENCIES","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ALB","INTERNATIONAL_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AND","NGOS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AND","SCHOOLS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AND","SOCIAL_WORKERS_GRP","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AND","HEALTH_CARE_WORKERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AND","LAW_ENFORCEMENT_AGENCIES","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","ARE","COMMUNITY_GROUPS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","ARE","NGOS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","ARE","RELIGIOUS_GROUPS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","ARE","SCHOOLS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","ARE","SOCIAL_WORKERS_GRP","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","ARE","HEALTH_CARE_WORKERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","ARE","LAW_ENFORCEMENT_AGENCIES","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EMR","ARE","INTERNATIONAL_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AMR","ARG","NGOS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AMR","ARG","SCHOOLS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AMR","ARG","EMPLOYERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AMR","ARG","LABOUR_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AMR","ARG","HEALTH_CARE_WORKERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AMR","ARG","LAW_ENFORCEMENT_AGENCIES","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AMR","ARG","ALCOHOL_BEVERAGE_INDUSTRY","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AMR","ARG","PATIENT_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ARM","NGOS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ARM","RELIGIOUS_GROUPS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ARM","SCHOOLS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ARM","SOCIAL_WORKERS_GRP","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ARM","LABOUR_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ARM","HEALTH_CARE_WORKERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ARM","LAW_ENFORCEMENT_AGENCIES","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ARM","INTERNATIONAL_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","ARM","PATIENT_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","WPR","AUS","COMMUNITY_GROUPS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","WPR","AUS","NGOS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","WPR","AUS","RELIGIOUS_GROUPS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","WPR","AUS","SCHOOLS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","WPR","AUS","SOCIAL_WORKERS_GRP","Yes","","","",""
"RSUD_570","PUBLISHED","2014","WPR","AUS","EMPLOYERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","WPR","AUS","LABOUR_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","WPR","AUS","HEALTH_CARE_WORKERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","WPR","AUS","LAW_ENFORCEMENT_AGENCIES","Yes","","","",""
"RSUD_570","PUBLISHED","2014","WPR","AUS","INTERNATIONAL_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","WPR","AUS","ALCOHOL_BEVERAGE_INDUSTRY","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AUT","COMMUNITY_GROUPS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AUT","NGOS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AUT","RELIGIOUS_GROUPS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AUT","SCHOOLS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AUT","SOCIAL_WORKERS_GRP","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AUT","TRADITIONAL_HEALERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AUT","EMPLOYERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AUT","LABOUR_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AUT","HEALTH_CARE_WORKERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AUT","LAW_ENFORCEMENT_AGENCIES","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AUT","INTERNATIONAL_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AZE","NGOS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AZE","HEALTH_CARE_WORKERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AZE","LAW_ENFORCEMENT_AGENCIES","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","AZE","INTERNATIONAL_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AFR","BDI","NGOS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AFR","BDI","RELIGIOUS_GROUPS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AFR","BDI","SCHOOLS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AFR","BDI","SOCIAL_WORKERS_GRP","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AFR","BDI","HEALTH_CARE_WORKERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AFR","BDI","INTERNATIONAL_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AFR","BDI","PATIENT_ORGANIZATIONS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","BEL","COMMUNITY_GROUPS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","BEL","NGOS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","BEL","SCHOOLS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","BEL","SOCIAL_WORKERS_GRP","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","BEL","EMPLOYERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","BEL","HEALTH_CARE_WORKERS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","BEL","LAW_ENFORCEMENT_AGENCIES","Yes","","","",""
"RSUD_570","PUBLISHED","2014","EUR","BEL","ALCOHOL_BEVERAGE_INDUSTRY","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AFR","BEN","NGOS","Yes","","","",""
"RSUD_570","PUBLISHED","2014","AFR","BEN","RELIGIOUS_GROUPS","Yes","","","",""
