"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","DRUG","Display Value","Numeric","Low","High","Comments"
"RSUD_67","PUBLISHED","2008","EUR","ALB","METHADONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","AFR","AGO","BUPRENORPHINE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","AFR","AGO","BUPRENORPHINE_NALOXONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","AFR","AGO","METHADONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","WPR","AUS","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","WPR","AUS","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","WPR","AUS","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","AUT","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","AUT","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","AUT","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","AZE","METHADONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","AMR","BHS","METHADONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","AMR","BHS","BUPRENORPHINE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","AMR","BHS","BUPRENORPHINE_NALOXONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EMR","BHR","METHADONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","BLR","METHADONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","BEL","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","BEL","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","BEL","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","BGR","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","AFR","BFA","BUPRENORPHINE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","WPR","CHN","METHADONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","WPR","CHN","BUPRENORPHINE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","AMR","COL","METHADONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","HRV","METHADONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","HRV","BUPRENORPHINE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","CYP","METHADONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","CYP","BUPRENORPHINE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","DNK","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","DNK","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","DNK","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","EST","BUPRENORPHINE_NALOXONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","EST","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","EST","BUPRENORPHINE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","FIN","BUPRENORPHINE_NALOXONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","FIN","METHADONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","FIN","BUPRENORPHINE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","FRA","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","FRA","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","AFR","GMB","BUPRENORPHINE_NALOXONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","AFR","GMB","METHADONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","GEO","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","DEU","BUPRENORPHINE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","DEU","BUPRENORPHINE_NALOXONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","DEU","METHADONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","GRC","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","GRC","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","GRC","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","HUN","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","HUN","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","ISL","METHADONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","ISL","BUPRENORPHINE_NALOXONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","ISL","BUPRENORPHINE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","SEAR","IND","BUPRENORPHINE_NALOXONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","SEAR","IND","BUPRENORPHINE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","SEAR","IDN","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","SEAR","IDN","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EMR","IRN","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EMR","IRN","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","IRL","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","IRL","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","ISR","BUPRENORPHINE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","ISR","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","ITA","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","ITA","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","ITA","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","KGZ","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","LVA","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","LVA","BUPRENORPHINE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","LTU","METHADONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","LTU","BUPRENORPHINE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","LTU","BUPRENORPHINE_NALOXONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","LUX","BUPRENORPHINE_NALOXONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","LUX","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","LUX","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","WPR","MYS","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","WPR","MYS","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","MLT","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","MLT","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","MLT","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","AFR","MUS","METHADONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","AMR","MEX","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","SEAR","MMR","METHADONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","SEAR","NPL","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","SEAR","NPL","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","NLD","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","NLD","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","NLD","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","WPR","NZL","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","WPR","NZL","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","WPR","NZL","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","NOR","METHADONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","NOR","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","NOR","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EMR","OMN","METHADONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","EMR","PAK","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","POL","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","POL","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","MDA","METHADONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","MDA","BUPRENORPHINE_NALOXONE","Inpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","SMR","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","SRB","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","WPR","SGP","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","SVK","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","SVK","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","SVN","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","SVN","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","SVN","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","AFR","ZAF","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","AFR","ZAF","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","ESP","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","SWE","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","SWE","BUPRENORPHINE_NALOXONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","SWE","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","CHE","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","CHE","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","SEAR","THA","METHADONE","Inpatient/Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","UKR","METHADONE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","UKR","BUPRENORPHINE","Outpatient","","","",""
"RSUD_67","PUBLISHED","2008","EUR","MNE","METHADONE","Outpatient","","","",""
