"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"CM_02","PUBLISHED","1963","EMR","","","AFG","BTSX","106871","106871.00000","93587.00000","123438.00000",""
"CM_02","PUBLISHED","1964","EMR","","","AFG","BTSX","107406","107406.00000","94492.00000","122936.00000",""
"CM_02","PUBLISHED","1965","EMR","","","AFG","BTSX","107973","107973.00000","95296.00000","123095.00000",""
"CM_02","PUBLISHED","1966","EMR","","","AFG","BTSX","108594","108594.00000","96043.00000","123766.00000",""
"CM_02","PUBLISHED","1967","EMR","","","AFG","BTSX","109332","109332.00000","96703.00000","124491.00000",""
"CM_02","PUBLISHED","1968","EMR","","","AFG","BTSX","110025","110025.00000","97373.00000","125306.00000",""
"CM_02","PUBLISHED","1969","EMR","","","AFG","BTSX","110613","110613.00000","98050.00000","126001.00000",""
"CM_02","PUBLISHED","1970","EMR","","","AFG","BTSX","111214","111214.00000","98643.00000","126897.00000",""
"CM_02","PUBLISHED","1971","EMR","","","AFG","BTSX","111739","111739.00000","99052.00000","127650.00000",""
"CM_02","PUBLISHED","1972","EMR","","","AFG","BTSX","112240","112240.00000","99550.00000","128055.00000",""
"CM_02","PUBLISHED","1973","EMR","","","AFG","BTSX","112468","112468.00000","100029.00000","128345.00000",""
"CM_02","PUBLISHED","1974","EMR","","","AFG","BTSX","112448","112448.00000","100091.00000","128222.00000",""
"CM_02","PUBLISHED","1975","EMR","","","AFG","BTSX","112113","112113.00000","99866.00000","127544.00000",""
"CM_02","PUBLISHED","1976","EMR","","","AFG","BTSX","111293","111293.00000","99387.00000","126442.00000",""
"CM_02","PUBLISHED","1977","EMR","","","AFG","BTSX","109863","109863.00000","98303.00000","124462.00000",""
"CM_02","PUBLISHED","1978","EMR","","","AFG","BTSX","107907","107907.00000","96693.00000","121976.00000",""
"CM_02","PUBLISHED","1979","EMR","","","AFG","BTSX","105387","105387.00000","94646.00000","119097.00000",""
"CM_02","PUBLISHED","1980","EMR","","","AFG","BTSX","102335","102335.00000","92148.00000","115602.00000",""
"CM_02","PUBLISHED","1981","EMR","","","AFG","BTSX","98784","98784.00000","89241.00000","111520.00000",""
