"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AWARENESSACTIVITYTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001647","PUBLISHED","2016","EMR","AFG","SA_ALCOHOLS_IMPACT_ON_HEALTH","No","","","",""
"SA_0000001647","PUBLISHED","2016","EMR","AFG","SA_SOCIAL_HARMS","No","","","",""
"SA_0000001647","PUBLISHED","2016","EMR","AFG","SA_YOUNG_PEOPLES_DRINKING","No","","","",""
"SA_0000001647","PUBLISHED","2016","EMR","AFG","SA_BINGE_DRINKING","No","","","",""
"SA_0000001647","PUBLISHED","2016","EMR","AFG","SA_DRINK_DRIVING","No","","","",""
"SA_0000001647","PUBLISHED","2016","EMR","AFG","SA_ILLEGAL_SURROGATE_ALCOHOL","No","","","",""
"SA_0000001647","PUBLISHED","2016","EMR","AFG","SA_INDIGENOUS_PEOPLE","No","","","",""
"SA_0000001647","PUBLISHED","2016","EMR","AFG","SA_PREGNANCY_AND_ALCOHOL","No","","","",""
"SA_0000001647","PUBLISHED","2016","EMR","AFG","SA_ELDERLY_PEOPLE","No","","","",""
"SA_0000001647","PUBLISHED","2016","EMR","AFG","SA_ALCOHOL_AT_WORK","No","","","",""
"SA_0000001647","PUBLISHED","2016","EMR","AFG","SA_DOMESTIC_VIOLENCE","No","","","",""
"SA_0000001647","PUBLISHED","2016","AFR","AGO","SA_INDIGENOUS_PEOPLE","Yes","","","",""
"SA_0000001647","PUBLISHED","2016","AFR","AGO","SA_SOCIAL_HARMS","Yes","","","",""
"SA_0000001647","PUBLISHED","2016","AFR","AGO","SA_DOMESTIC_VIOLENCE","Yes","","","",""
"SA_0000001647","PUBLISHED","2016","AFR","AGO","SA_ALCOHOLS_IMPACT_ON_HEALTH","Yes","","","",""
"SA_0000001647","PUBLISHED","2016","AFR","AGO","SA_PREGNANCY_AND_ALCOHOL","Yes","","","",""
"SA_0000001647","PUBLISHED","2016","AFR","AGO","SA_YOUNG_PEOPLES_DRINKING","Yes","","","",""
"SA_0000001647","PUBLISHED","2016","AFR","AGO","SA_ELDERLY_PEOPLE","Yes","","","",""
"SA_0000001647","PUBLISHED","2016","AFR","AGO","SA_ALCOHOL_AT_WORK","Yes","","","",""
"SA_0000001647","PUBLISHED","2016","AFR","AGO","SA_BINGE_DRINKING","Yes","","","",""
"SA_0000001647","PUBLISHED","2016","AFR","AGO","SA_DRINK_DRIVING","Yes","","","",""
