"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"NCD_GLUC_03","PUBLISHED","2010","EMR","","SDF","YEARS18-PLUS","BTSX","6.1 [4.3-8.4]","6.10000","4.30000","8.40000",""
"NCD_GLUC_03","PUBLISHED","2010","EMR","","SDF","YEARS18-PLUS","FMLE","6.7 [3.9-10.2]","6.70000","3.90000","10.20000",""
"NCD_GLUC_03","PUBLISHED","1980","AFR","","","YEARS18-PLUS","BTSX","2.2 [1.1-3.8]","2.20000","1.10000","3.80000",""
"NCD_GLUC_03","PUBLISHED","1980","SEAR","","","YEARS18-PLUS","FMLE","3.5 [1.4-6.9]","3.50000","1.40000","6.90000",""
"NCD_GLUC_03","PUBLISHED","1980","SEAR","","","YEARS18-PLUS","MLE","2.7 [1.0-5.7]","2.70000","1.00000","5.70000",""
"NCD_GLUC_03","PUBLISHED","1980","WPR","","","YEARS18-PLUS","FMLE","4.4 [1.9-9.0]","4.40000","1.90000","9.00000",""
"NCD_GLUC_03","PUBLISHED","1980","WPR","","","YEARS18-PLUS","MLE","3.1 [1.3-6.6]","3.10000","1.30000","6.60000",""
"NCD_GLUC_03","PUBLISHED","1980","","WB_LMI","","YEARS18-PLUS","BTSX","3.3 [2.0-5.2]","3.30000","2.00000","5.20000",""
"NCD_GLUC_03","PUBLISHED","1980","","WB_LMI","","YEARS18-PLUS","FMLE","3.7 [1.8-6.7]","3.70000","1.80000","6.70000",""
"NCD_GLUC_03","PUBLISHED","1980","GLOBAL","WB_WORLD_INCOME","","YEARS18-PLUS","MLE","3.6 [2.0-5.9]","3.60000","2.00000","5.90000",""
"NCD_GLUC_03","PUBLISHED","1981","AFR","","","YEARS18-PLUS","BTSX","2.2 [1.2-3.8]","2.20000","1.20000","3.80000",""
"NCD_GLUC_03","PUBLISHED","1981","SEAR","","","YEARS18-PLUS","MLE","2.8 [1.1-5.6]","2.80000","1.10000","5.60000",""
"NCD_GLUC_03","PUBLISHED","1981","EUR","","","YEARS18-PLUS","BTSX","5.9 [4.1-8.2]","5.90000","4.10000","8.20000",""
"NCD_GLUC_03","PUBLISHED","1981","WPR","","","YEARS18-PLUS","FMLE","4.4 [2.0-8.6]","4.40000","2.00000","8.60000",""
"NCD_GLUC_03","PUBLISHED","1981","WPR","","","YEARS18-PLUS","MLE","3.2 [1.4-6.5]","3.20000","1.40000","6.50000",""
"NCD_GLUC_03","PUBLISHED","1981","","WB_LMI","","YEARS18-PLUS","BTSX","3.4 [2.1-5.2]","3.40000","2.10000","5.20000",""
"NCD_GLUC_03","PUBLISHED","1981","","WB_LMI","","YEARS18-PLUS","FMLE","3.8 [1.9-6.7]","3.80000","1.90000","6.70000",""
"NCD_GLUC_03","PUBLISHED","1982","AFR","","","YEARS18-PLUS","BTSX","2.3 [1.3-3.8]","2.30000","1.30000","3.80000",""
"NCD_GLUC_03","PUBLISHED","1982","AFR","","","YEARS18-PLUS","FMLE","2.6 [1.1-5.0]","2.60000","1.10000","5.00000",""
"NCD_GLUC_03","PUBLISHED","1982","SEAR","","","YEARS18-PLUS","MLE","2.9 [1.2-5.6]","2.90000","1.20000","5.60000",""
"NCD_GLUC_03","PUBLISHED","1982","EUR","","","YEARS18-PLUS","BTSX","5.9 [4.2-8.1]","5.90000","4.20000","8.10000",""
"NCD_GLUC_03","PUBLISHED","1982","WPR","","","YEARS18-PLUS","FMLE","4.4 [2.1-8.4]","4.40000","2.10000","8.40000",""
"NCD_GLUC_03","PUBLISHED","1982","WPR","","","YEARS18-PLUS","MLE","3.2 [1.5-6.4]","3.20000","1.50000","6.40000",""
"NCD_GLUC_03","PUBLISHED","1982","","WB_HI","","YEARS18-PLUS","BTSX","5.5 [4.1-7.3]","5.50000","4.10000","7.30000",""
"NCD_GLUC_03","PUBLISHED","1982","","WB_LMI","","YEARS18-PLUS","FMLE","3.9 [2.0-6.6]","3.90000","2.00000","6.60000",""
"NCD_GLUC_03","PUBLISHED","1982","","WB_LMI","","YEARS18-PLUS","MLE","3.0 [1.5-5.5]","3.00000","1.50000","5.50000",""
"NCD_GLUC_03","PUBLISHED","1983","AFR","","","YEARS18-PLUS","BTSX","2.3 [1.3-3.8]","2.30000","1.30000","3.80000",""
"NCD_GLUC_03","PUBLISHED","1983","AFR","","","YEARS18-PLUS","FMLE","2.6 [1.2-4.9]","2.60000","1.20000","4.90000",""
"NCD_GLUC_03","PUBLISHED","1983","EUR","","","YEARS18-PLUS","BTSX","6.0 [4.3-8.1]","6.00000","4.30000","8.10000",""
"NCD_GLUC_03","PUBLISHED","1983","EUR","","","YEARS18-PLUS","FMLE","6.7 [4.2-9.8]","6.70000","4.20000","9.80000",""
"NCD_GLUC_03","PUBLISHED","1983","WPR","","","YEARS18-PLUS","MLE","3.3 [1.6-6.2]","3.30000","1.60000","6.20000",""
"NCD_GLUC_03","PUBLISHED","1983","","WB_HI","","YEARS18-PLUS","BTSX","5.6 [4.2-7.2]","5.60000","4.20000","7.20000",""
"NCD_GLUC_03","PUBLISHED","1983","","WB_LMI","","YEARS18-PLUS","FMLE","4.0 [2.2-6.6]","4.00000","2.20000","6.60000",""
"NCD_GLUC_03","PUBLISHED","1983","","WB_LMI","","YEARS18-PLUS","MLE","3.1 [1.6-5.5]","3.10000","1.60000","5.50000",""
"NCD_GLUC_03","PUBLISHED","1984","AFR","","","YEARS18-PLUS","FMLE","2.7 [1.3-4.9]","2.70000","1.30000","4.90000",""
"NCD_GLUC_03","PUBLISHED","1984","AFR","","","YEARS18-PLUS","MLE","2.1 [1.0-4.0]","2.10000","1.00000","4.00000",""
"NCD_GLUC_03","PUBLISHED","1984","EUR","","","YEARS18-PLUS","BTSX","6.0 [4.4-8.0]","6.00000","4.40000","8.00000",""
"NCD_GLUC_03","PUBLISHED","1984","EUR","","","YEARS18-PLUS","FMLE","6.7 [4.4-9.6]","6.70000","4.40000","9.60000",""
"NCD_GLUC_03","PUBLISHED","1984","WPR","","","YEARS18-PLUS","MLE","3.4 [1.7-6.2]","3.40000","1.70000","6.20000",""
"NCD_GLUC_03","PUBLISHED","1984","","WB_HI","","YEARS18-PLUS","BTSX","5.6 [4.3-7.2]","5.60000","4.30000","7.20000",""
"NCD_GLUC_03","PUBLISHED","1984","","WB_LMI","","YEARS18-PLUS","MLE","3.2 [1.7-5.5]","3.20000","1.70000","5.50000",""
"NCD_GLUC_03","PUBLISHED","1984","","WB_UMI","","YEARS18-PLUS","BTSX","4.4 [2.9-6.2]","4.40000","2.90000","6.20000",""
"NCD_GLUC_03","PUBLISHED","1985","AFR","","","YEARS18-PLUS","FMLE","2.7 [1.4-4.8]","2.70000","1.40000","4.80000",""
"NCD_GLUC_03","PUBLISHED","1985","AFR","","","YEARS18-PLUS","MLE","2.2 [1.1-4.1]","2.20000","1.10000","4.10000",""
"NCD_GLUC_03","PUBLISHED","1985","EUR","","","YEARS18-PLUS","BTSX","6.1 [4.6-8.0]","6.10000","4.60000","8.00000",""
"NCD_GLUC_03","PUBLISHED","1985","EUR","","","YEARS18-PLUS","FMLE","6.8 [4.5-9.5]","6.80000","4.50000","9.50000",""
"NCD_GLUC_03","PUBLISHED","1985","","WB_HI","","YEARS18-PLUS","BTSX","5.7 [4.4-7.2]","5.70000","4.40000","7.20000",""
"NCD_GLUC_03","PUBLISHED","1985","","WB_HI","","YEARS18-PLUS","FMLE","5.8 [4.1-7.9]","5.80000","4.10000","7.90000",""
"NCD_GLUC_03","PUBLISHED","1985","","WB_LMI","","YEARS18-PLUS","MLE","3.4 [1.9-5.5]","3.40000","1.90000","5.50000",""
"NCD_GLUC_03","PUBLISHED","1985","","WB_UMI","","YEARS18-PLUS","BTSX","4.4 [3.0-6.2]","4.40000","3.00000","6.20000",""
"NCD_GLUC_03","PUBLISHED","1986","AFR","","","YEARS18-PLUS","FMLE","2.8 [1.4-4.8]","2.80000","1.40000","4.80000",""
"NCD_GLUC_03","PUBLISHED","1986","AFR","","","YEARS18-PLUS","MLE","2.3 [1.1-4.1]","2.30000","1.10000","4.10000",""
"NCD_GLUC_03","PUBLISHED","1986","AMR","","","YEARS18-PLUS","BTSX","5.1 [3.8-6.6]","5.10000","3.80000","6.60000",""
"NCD_GLUC_03","PUBLISHED","1986","EUR","","","YEARS18-PLUS","FMLE","6.8 [4.6-9.4]","6.80000","4.60000","9.40000",""
"NCD_GLUC_03","PUBLISHED","1986","EUR","","","YEARS18-PLUS","MLE","5.5 [3.7-7.8]","5.50000","3.70000","7.80000",""
"NCD_GLUC_03","PUBLISHED","1986","","WB_HI","","YEARS18-PLUS","BTSX","5.8 [4.6-7.2]","5.80000","4.60000","7.20000",""
"NCD_GLUC_03","PUBLISHED","1986","","WB_HI","","YEARS18-PLUS","FMLE","5.9 [4.3-7.9]","5.90000","4.30000","7.90000",""
"NCD_GLUC_03","PUBLISHED","1986","","WB_UMI","","YEARS18-PLUS","BTSX","4.5 [3.2-6.2]","4.50000","3.20000","6.20000",""
"NCD_GLUC_03","PUBLISHED","1986","","WB_UMI","","YEARS18-PLUS","FMLE","5.2 [3.3-7.8]","5.20000","3.30000","7.80000",""
"NCD_GLUC_03","PUBLISHED","1987","AFR","","","YEARS18-PLUS","MLE","2.3 [1.2-4.1]","2.30000","1.20000","4.10000",""
"NCD_GLUC_03","PUBLISHED","1987","AMR","","","YEARS18-PLUS","BTSX","5.2 [3.9-6.6]","5.20000","3.90000","6.60000",""
"NCD_GLUC_03","PUBLISHED","1987","EUR","","","YEARS18-PLUS","FMLE","6.8 [4.7-9.3]","6.80000","4.70000","9.30000",""
"NCD_GLUC_03","PUBLISHED","1987","EUR","","","YEARS18-PLUS","MLE","5.5 [3.8-7.8]","5.50000","3.80000","7.80000",""
"NCD_GLUC_03","PUBLISHED","1987","","WB_HI","","YEARS18-PLUS","FMLE","6.0 [4.4-7.8]","6.00000","4.40000","7.80000",""
"NCD_GLUC_03","PUBLISHED","1987","","WB_HI","","YEARS18-PLUS","MLE","5.8 [4.1-7.8]","5.80000","4.10000","7.80000",""
"NCD_GLUC_03","PUBLISHED","1987","","WB_UMI","","YEARS18-PLUS","BTSX","4.6 [3.3-6.2]","4.60000","3.30000","6.20000",""
"NCD_GLUC_03","PUBLISHED","1987","","WB_UMI","","YEARS18-PLUS","FMLE","5.3 [3.4-7.7]","5.30000","3.40000","7.70000",""
"NCD_GLUC_03","PUBLISHED","1988","AFR","","","YEARS18-PLUS","MLE","2.4 [1.3-4.1]","2.40000","1.30000","4.10000",""
"NCD_GLUC_03","PUBLISHED","1988","AMR","","","YEARS18-PLUS","BTSX","5.3 [4.1-6.6]","5.30000","4.10000","6.60000",""
"NCD_GLUC_03","PUBLISHED","1988","EUR","","","YEARS18-PLUS","MLE","5.6 [3.9-7.8]","5.60000","3.90000","7.80000",""
"NCD_GLUC_03","PUBLISHED","1988","EMR","","","YEARS18-PLUS","BTSX","5.4 [4.1-7.0]","5.40000","4.10000","7.00000",""
"NCD_GLUC_03","PUBLISHED","1988","","WB_HI","","YEARS18-PLUS","FMLE","6.0 [4.5-7.8]","6.00000","4.50000","7.80000",""
"NCD_GLUC_03","PUBLISHED","1988","","WB_HI","","YEARS18-PLUS","MLE","5.9 [4.3-7.8]","5.90000","4.30000","7.80000",""
"NCD_GLUC_03","PUBLISHED","1988","","WB_UMI","","YEARS18-PLUS","BTSX","4.6 [3.4-6.1]","4.60000","3.40000","6.10000",""
"NCD_GLUC_03","PUBLISHED","1988","","WB_UMI","","YEARS18-PLUS","FMLE","5.3 [3.5-7.6]","5.30000","3.50000","7.60000",""
"NCD_GLUC_03","PUBLISHED","1989","AMR","","","YEARS18-PLUS","BTSX","5.4 [4.2-6.7]","5.40000","4.20000","6.70000",""
"NCD_GLUC_03","PUBLISHED","1989","AMR","","","YEARS18-PLUS","FMLE","5.5 [4.0-7.5]","5.50000","4.00000","7.50000",""
"NCD_GLUC_03","PUBLISHED","1989","EUR","","","YEARS18-PLUS","MLE","5.8 [4.1-7.8]","5.80000","4.10000","7.80000",""
"NCD_GLUC_03","PUBLISHED","1989","EMR","","","YEARS18-PLUS","BTSX","5.5 [4.2-7.0]","5.50000","4.20000","7.00000",""
"NCD_GLUC_03","PUBLISHED","1989","","WB_HI","","YEARS18-PLUS","FMLE","6.1 [4.7-7.8]","6.10000","4.70000","7.80000",""
"NCD_GLUC_03","PUBLISHED","1989","","WB_HI","","YEARS18-PLUS","MLE","6.0 [4.5-7.8]","6.00000","4.50000","7.80000",""
"NCD_GLUC_03","PUBLISHED","1989","","WB_LI","","YEARS18-PLUS","BTSX","2.6 [1.8-3.7]","2.60000","1.80000","3.70000",""
"NCD_GLUC_03","PUBLISHED","1989","","WB_UMI","","YEARS18-PLUS","FMLE","5.4 [3.6-7.5]","5.40000","3.60000","7.50000",""
"NCD_GLUC_03","PUBLISHED","1989","","WB_UMI","","YEARS18-PLUS","MLE","4.1 [2.6-6.1]","4.10000","2.60000","6.10000",""
"NCD_GLUC_03","PUBLISHED","1990","AMR","","","YEARS18-PLUS","BTSX","5.5 [4.3-6.8]","5.50000","4.30000","6.80000",""
"NCD_GLUC_03","PUBLISHED","1990","AMR","","","YEARS18-PLUS","FMLE","5.6 [4.1-7.5]","5.60000","4.10000","7.50000",""
"NCD_GLUC_03","PUBLISHED","1990","EMR","","","YEARS18-PLUS","BTSX","5.7 [4.4-7.1]","5.70000","4.40000","7.10000",""
"NCD_GLUC_03","PUBLISHED","1990","EMR","","","YEARS18-PLUS","FMLE","6.1 [4.3-8.1]","6.10000","4.30000","8.10000",""
