"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SPECIALPOPULATION","RSUDSPECIFICPOPULATION","Display Value","Numeric","Low","High","Comments"
"RSUD_77","PUBLISHED","2008","EMR","AFG","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EMR","AFG","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EMR","AFG","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EMR","AFG","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EMR","AFG","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EMR","AFG","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","EMR","AFG","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","EMR","AFG","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EMR","AFG","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ALB","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ALB","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ALB","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ALB","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ALB","COMMERCIAL_SEX_WORKERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ALB","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ALB","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ALB","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ALB","PRISONERS","","yes","","","",""
